shapeID,shapeName,shapeISO,shapeGroup,shapeType,adm1_name,city,lon,lat,area_km2,dist_cbd_km
KHM-ADM2-001,Phnom Penh District 1,KHM.1,KHM,ADM2,Phnom Penh,Phnom Penh,104.93901,11.59697,21.46,4.595
KHM-ADM2-002,Phnom Penh District 2,KHM.2,KHM,ADM2,Phnom Penh,Phnom Penh,104.96979,11.58009,13.29,5.856
KHM-ADM2-003,Phnom Penh District 3,KHM.3,KHM,ADM2,Phnom Penh,Phnom Penh,104.94005,11.57324,18.28,2.629
KHM-ADM2-004,Phnom Penh District 4,KHM.4,KHM,ADM2,Phnom Penh,Phnom Penh,104.8795,11.55267,13.73,4.479
KHM-ADM2-005,Phnom Penh District 5,KHM.5,KHM,ADM2,Phnom Penh,Phnom Penh,104.92218,11.54684,11.5,1.48
KHM-ADM2-006,Phnom Penh District 6,KHM.6,KHM,ADM2,Phnom Penh,Phnom Penh,104.92045,11.5476,34.32,1.377
KHM-ADM2-007,Phnom Penh District 7,KHM.7,KHM,ADM2,Phnom Penh,Phnom Penh,104.77089,11.47499,16.35,18.761
KHM-ADM2-008,Phnom Penh District 8,KHM.8,KHM,ADM2,Phnom Penh,Phnom Penh,104.93175,11.56978,49.01,1.677
KHM-ADM2-009,Phnom Penh District 9,KHM.9,KHM,ADM2,Phnom Penh,Phnom Penh,104.89923,11.65192,25.21,10.45
KHM-ADM2-010,Phnom Penh District 10,KHM.10,KHM,ADM2,Phnom Penh,Phnom Penh,104.89173,11.48584,19.7,8.787
KHM-ADM2-011,Phnom Penh District 11,KHM.11,KHM,ADM2,Phnom Penh,Phnom Penh,104.8525,11.52925,17.3,8.095
KHM-ADM2-012,Phnom Penh District 12,KHM.12,KHM,ADM2,Phnom Penh,Phnom Penh,104.9146,11.5643,18.35,0.757
KHM-ADM2-013,Phnom Penh District 13,KHM.13,KHM,ADM2,Phnom Penh,Phnom Penh,104.95266,11.6001,21.35,5.694
KHM-ADM2-014,Phnom Penh District 14,KHM.14,KHM,ADM2,Phnom Penh,Phnom Penh,104.96024,11.53744,28.25,5.042
VNM-ADM2-001,Hanoi District 1,VNM.1,VNM,ADM2,Ha Noi,Hanoi,105.8803,21.0291,8.62,5.212
VNM-ADM2-002,Hanoi District 2,VNM.2,VNM,ADM2,Ha Noi,Hanoi,105.83298,21.04228,10.18,1.398
VNM-ADM2-003,Hanoi District 3,VNM.3,VNM,ADM2,Ha Noi,Hanoi,105.84098,21.009,20.42,2.594
VNM-ADM2-004,Hanoi District 4,VNM.4,VNM,ADM2,Ha Noi,Hanoi,105.73932,21.04145,33.25,9.481
VNM-ADM2-005,Hanoi District 5,VNM.5,VNM,ADM2,Ha Noi,Hanoi,105.78541,21.06385,20.61,5.955
