area_id,city,prior_footfall,floor_area_m2,dist_market_m,program,sales_growth_pct,program_rct,sales_growth_rct_pct
PP-001,Phnom Penh,38.1,18.7,153.0,0,2.36,1,5.63
PP-002,Phnom Penh,19.5,57.2,440.0,0,1.92,0,-2.73
PP-003,Phnom Penh,59.0,23.7,317.0,0,7.18,1,16.05
PP-004,Phnom Penh,61.2,22.2,161.0,1,12.9,1,11.13
PP-005,Phnom Penh,45.4,32.5,946.0,0,3.09,0,4.55
PP-006,Phnom Penh,55.5,51.0,159.0,1,13.09,1,9.98
PP-007,Phnom Penh,75.7,16.8,454.0,0,5.9,1,12.36
PP-008,Phnom Penh,65.9,48.7,81.0,0,15.83,1,10.87
PP-009,Phnom Penh,60.6,43.7,757.0,0,9.62,0,9.8
PP-010,Phnom Penh,60.3,21.2,142.0,1,9.0,1,7.42
PP-011,Phnom Penh,37.0,21.9,576.0,0,1.63,1,9.54
PP-012,Phnom Penh,64.5,33.8,520.0,1,12.51,0,6.41
PP-013,Phnom Penh,25.3,87.4,665.0,0,1.53,0,-3.09
PP-014,Phnom Penh,45.0,32.7,113.0,0,4.04,1,3.77
PP-015,Phnom Penh,43.4,59.7,185.0,0,8.55,1,8.72
PP-016,Phnom Penh,24.1,56.0,375.0,0,0.78,1,9.69
PP-017,Phnom Penh,48.3,17.9,469.0,0,4.42,1,11.86
PP-018,Phnom Penh,74.7,36.6,1979.0,0,11.01,1,15.52
PP-019,Phnom Penh,44.9,57.1,289.0,0,8.2,0,5.36
PP-020,Phnom Penh,31.9,29.3,573.0,0,-0.96,1,7.67
PP-021,Phnom Penh,48.6,63.4,90.0,0,4.77,0,7.75
PP-022,Phnom Penh,62.8,22.5,865.0,0,12.07,1,12.93
PP-023,Phnom Penh,52.9,18.9,496.0,0,8.25,1,11.45
PP-024,Phnom Penh,50.0,30.0,91.0,1,10.26,1,14.56
PP-025,Phnom Penh,28.9,49.2,469.0,0,7.13,1,8.37
PP-026,Phnom Penh,57.5,30.8,752.0,0,12.31,1,15.64
PP-027,Phnom Penh,57.3,55.5,371.0,1,8.49,0,8.81
PP-028,Phnom Penh,70.1,18.3,274.0,1,10.72,1,17.53
PP-029,Phnom Penh,72.3,28.2,140.0,1,16.07,0,14.14
PP-030,Phnom Penh,60.3,67.9,455.0,0,11.63,1,9.32
PP-031,Phnom Penh,25.4,15.0,183.0,0,0.94,1,2.73
PP-032,Phnom Penh,28.5,42.2,1275.0,0,2.63,1,6.88
PP-033,Phnom Penh,33.5,24.6,115.0,0,1.71,1,6.84
PP-034,Phnom Penh,54.4,26.2,1027.0,0,9.37,0,10.11
PP-035,Phnom Penh,38.2,31.7,325.0,0,1.22,1,7.94
PP-036,Phnom Penh,69.6,18.9,583.0,1,14.64,0,11.19
PP-037,Phnom Penh,53.7,55.7,613.0,0,9.21,0,5.94
PP-038,Phnom Penh,55.5,47.7,359.0,0,7.66,0,3.56
PP-039,Phnom Penh,61.3,63.5,1672.0,0,8.52,0,10.98
PP-040,Phnom Penh,55.1,39.5,276.0,0,8.28,1,10.03
PP-041,Phnom Penh,28.8,24.0,920.0,0,4.09,1,4.59
PP-042,Phnom Penh,86.8,49.1,159.0,1,16.37,0,13.8
PP-043,Phnom Penh,71.9,20.1,928.0,1,17.29,1,15.7
