old_shapeID,new_shapeID,effective_from,area_share
UZB-ADM2-001,UZB-ADM2-001-A,2022-01-01,0.5
UZB-ADM2-001,UZB-ADM2-001-B,2022-01-01,0.5
UZB-ADM2-002,UZB-ADM2-002-A,2022-01-01,0.5
UZB-ADM2-002,UZB-ADM2-002-B,2022-01-01,0.5
UZB-ADM2-003,UZB-ADM2-003-A,2022-01-01,0.5
UZB-ADM2-003,UZB-ADM2-003-B,2022-01-01,0.5
UZB-ADM2-004,UZB-ADM2-004,2022-01-01,1.0
UZB-ADM2-005,UZB-ADM2-005,2022-01-01,1.0
UZB-ADM2-006,UZB-ADM2-006,2022-01-01,1.0
UZB-ADM2-007,UZB-ADM2-007,2022-01-01,1.0
UZB-ADM2-008,UZB-ADM2-008,2022-01-01,1.0
UZB-ADM2-009,UZB-ADM2-009,2022-01-01,1.0
UZB-ADM2-010,UZB-ADM2-010,2022-01-01,1.0
UZB-ADM2-011,UZB-ADM2-011,2022-01-01,1.0
UZB-ADM2-012,UZB-ADM2-012,2022-01-01,1.0
