shapeID,city,shapeGroup,date,avg_rad,cf_cvg,n_pixels,area_km2
GBR-ADM2-001,Manchester,GBR,2019-01-01,13.9214,11,58,13.62
GBR-ADM2-001,Manchester,GBR,2019-02-01,13.9458,14,58,13.62
GBR-ADM2-001,Manchester,GBR,2019-03-01,14.2069,10,58,13.62
GBR-ADM2-001,Manchester,GBR,2019-04-01,13.8972,11,58,13.62
GBR-ADM2-001,Manchester,GBR,2019-05-01,15.0952,14,58,13.62
GBR-ADM2-001,Manchester,GBR,2019-06-01,15.3428,4,58,13.62
GBR-ADM2-001,Manchester,GBR,2019-07-01,14.1047,5,58,13.62
GBR-ADM2-001,Manchester,GBR,2019-08-01,12.9033,2,58,13.62
GBR-ADM2-001,Manchester,GBR,2019-09-01,12.1235,4,58,13.62
GBR-ADM2-001,Manchester,GBR,2019-10-01,14.9057,13,58,13.62
GBR-ADM2-001,Manchester,GBR,2019-11-01,14.9438,21,58,13.62
GBR-ADM2-001,Manchester,GBR,2019-12-01,15.0789,13,58,13.62
GBR-ADM2-001,Manchester,GBR,2020-01-01,13.2833,17,58,13.62
GBR-ADM2-001,Manchester,GBR,2020-02-01,15.8973,7,58,13.62
GBR-ADM2-001,Manchester,GBR,2020-03-01,14.7025,11,58,13.62
GBR-ADM2-001,Manchester,GBR,2020-04-01,12.702,6,58,13.62
GBR-ADM2-001,Manchester,GBR,2020-05-01,12.1325,14,58,13.62
GBR-ADM2-001,Manchester,GBR,2020-06-01,11.7181,6,58,13.62
GBR-ADM2-001,Manchester,GBR,2020-07-01,,0,58,13.62
GBR-ADM2-001,Manchester,GBR,2020-08-01,13.6459,10,58,13.62
GBR-ADM2-001,Manchester,GBR,2020-09-01,14.9902,2,58,13.62
GBR-ADM2-001,Manchester,GBR,2020-10-01,13.4599,12,58,13.62
GBR-ADM2-001,Manchester,GBR,2020-11-01,15.6409,12,58,13.62
GBR-ADM2-001,Manchester,GBR,2020-12-01,13.401,15,58,13.62
