hhid,hv001,hv002,hv005,hv009,hv024,hv025,hv201,hv205,hv206,hv270,hv271,serv_1,serv_2,serv_3,sat_1,sat_2,sat_3,ctx_infra_index,y_wellbeing
0001 001,1,1,854380,6,1,1,31,11,1,4,64307,3,3,3,2,2,3,0.396,3.116
0001 002,1,2,1304748,8,1,1,32,22,1,5,206020,3,3,3,3,3,4,0.396,2.057
0001 003,1,3,1082440,5,1,1,32,21,1,3,16961,4,4,4,3,3,4,0.396,1.86
0001 004,1,4,984618,5,1,1,31,12,1,3,11270,4,4,4,2,3,3,0.396,3.671
0001 005,1,5,1169946,4,1,1,32,11,1,5,125668,4,3,4,3,3,4,0.396,2.514
0001 006,1,6,819634,4,1,1,13,22,0,3,-22634,2,3,2,3,2,2,0.396,5.569
0001 007,1,7,849815,5,1,1,32,12,1,4,94672,4,4,4,3,3,4,0.396,5.775
0001 008,1,8,960274,4,1,1,13,11,0,4,56799,4,4,3,3,3,3,0.396,2.907
0001 009,1,9,1017970,5,1,1,12,22,1,5,144360,3,3,3,4,4,2,0.396,2.649
0001 010,1,10,911524,3,1,1,21,11,0,2,-70325,3,3,4,3,2,3,0.396,3.069
0001 011,1,11,956954,3,1,1,11,31,1,4,64953,3,3,3,3,2,3,0.396,2.838
0001 012,1,12,957146,6,1,1,21,21,0,3,9976,3,4,3,2,1,2,0.396,3.287
0001 013,1,13,915745,7,1,1,12,22,0,2,-94426,3,3,3,3,3,3,0.396,1.819
0001 014,1,14,752129,9,1,1,11,31,1,2,-54075,4,4,4,2,3,4,0.396,4.903
0001 015,1,15,1054694,6,1,1,32,11,0,3,-749,4,3,4,3,3,4,0.396,3.638
0001 016,1,16,1055472,7,1,1,32,22,1,4,59158,4,4,4,2,2,3,0.396,3.532
0001 017,1,17,951290,4,1,1,32,11,1,4,78728,4,3,4,3,3,4,0.396,2.665
0001 018,1,18,819856,7,1,1,21,22,0,2,-87287,4,3,3,4,3,4,0.396,3.132
0001 019,1,19,788011,2,1,1,31,12,1,5,143464,4,4,3,4,3,2,0.396,4.604
0001 020,1,20,983042,5,1,1,11,12,1,4,89519,4,4,3,2,2,2,0.396,3.702
0001 021,1,21,897054,10,1,1,31,21,1,4,42460,3,4,4,1,2,3,0.396,3.911
0001 022,1,22,893436,6,1,1,21,21,1,4,38357,4,3,4,3,3,3,0.396,1.96
0001 023,1,23,1110810,5,1,1,32,12,1,3,7843,4,4,4,3,3,3,0.396,2.709
0001 024,1,24,954113,3,1,1,21,12,0,2,-82344,3,3,3,2,2,1,0.396,2.552
0001 025,1,25,840519,4,1,1,11,31,0,5,159464,5,3,4,4,3,3,0.396,1.959
0002 001,2,1,1064379,8,1,1,11,21,0,2,-95312,4,4,4,3,3,3,-0.616,2.883
0002 002,2,2,818441,3,1,1,12,12,1,3,5948,5,4,5,3,3,3,-0.616,2.731
0002 003,2,3,1051850,2,1,1,11,31,0,1,-164794,3,3,4,3,3,2,-0.616,3.684
0002 004,2,4,1135914,7,1,1,11,11,1,2,-48143,5,5,4,5,4,4,-0.616,3.354
0002 005,2,5,754097,5,1,1,13,12,1,3,-4457,5,3,4,4,3,3,-0.616,3.227
0002 006,2,6,1061142,4,1,1,31,12,0,1,-101505,4,4,3,3,3,3,-0.616,3.509
0002 007,2,7,1050483,10,1,1,13,31,1,3,24923,4,4,3,2,4,3,-0.616,3.14
0002 008,2,8,946410,6,1,1,11,12,1,3,2343,4,5,5,4,4,4,-0.616,4.522
0002 009,2,9,1185973,6,1,1,31,21,0,1,-164438,4,4,3,3,3,3,-0.616,0.962
0002 010,2,10,1330162,7,1,1,31,11,0,1,-133394,3,4,4,3,3,3,-0.616,3.207
0002 011,2,11,995841,5,1,1,32,12,1,2,-71733,4,3,3,4,3,3,-0.616,1.957
0002 012,2,12,1109033,3,1,1,11,22,0,2,-56390,4,4,3,2,3,3,-0.616,3.054
0002 013,2,13,992034,4,1,1,12,11,1,1,-106887,4,4,3,4,4,3,-0.616,4.218
0002 014,2,14,924665,5,1,1,21,21,0,3,-21972,3,3,2,3,2,2,-0.616,3.53
0002 015,2,15,1091557,4,1,1,12,22,1,2,-36648,3,4,3,3,3,4,-0.616,3.4
0002 016,2,16,904819,7,1,1,21,12,0,1,-215606,2,2,2,3,3,2,-0.616,3.345
0002 017,2,17,1121717,3,1,1,13,11,1,4,49632,4,3,3,4,3,4,-0.616,3.419
0002 018,2,18,926074,5,1,1,21,12,0,2,-37863,4,4,4,3,4,3,-0.616,2.735
0002 019,2,19,987743,3,1,1,12,31,0,2,-51836,4,4,4,2,3,2,-0.616,2.419
0002 020,2,20,1068304,2,1,1,32,21,1,3,14036,3,4,2,3,3,2,-0.616,3.58
0002 021,2,21,950124,7,1,1,32,12,0,2,-32957,4,4,4,3,2,2,-0.616,4.199
0002 022,2,22,994070,8,1,1,11,11,0,3,-27145,3,2,3,2,2,2,-0.616,2.955
0002 023,2,23,1090364,5,1,1,11,12,0,1,-100891,4,4,3,4,3,4,-0.616,3.581
0002 024,2,24,1121078,5,1,1,11,21,0,1,-155585,3,4,3,2,3,3,-0.616,3.313
0002 025,2,25,1086255,2,1,1,21,21,0,4,78374,2,3,2,3,2,2,-0.616,2.557
0003 001,3,1,978265,7,1,1,11,21,0,4,48143,4,4,4,4,4,4,0.457,1.885
0003 002,3,2,1070017,9,1,1,31,31,1,4,63012,3,4,4,4,4,4,0.457,2.806
0003 003,3,3,1141556,5,1,1,21,11,1,4,57134,4,4,4,5,4,5,0.457,2.325
0003 004,3,4,915238,4,1,1,11,22,0,4,47550,4,3,4,3,3,4,0.457,2.361
0003 005,3,5,1083448,8,1,1,11,31,0,5,142946,3,3,2,3,3,3,0.457,2.264
0003 006,3,6,1023273,8,1,1,13,12,1,4,74290,3,4,3,4,3,4,0.457,1.979
0003 007,3,7,943793,8,1,1,11,11,0,2,-73662,4,3,3,2,2,3,0.457,0.925
0003 008,3,8,1036180,3,1,1,31,11,0,5,155946,3,3,3,3,4,3,0.457,3.193
0003 009,3,9,1002396,3,1,1,21,11,0,2,-39887,3,3,3,2,2,2,0.457,0.567
0003 010,3,10,965914,6,1,1,32,11,0,2,-93172,3,3,3,3,3,2,0.457,1.13
0003 011,3,11,977315,2,1,1,31,12,0,3,-6654,2,3,3,3,4,3,0.457,0.682
0003 012,3,12,1064295,4,1,1,12,11,1,5,203202,5,5,4,4,4,4,0.457,2.773
0003 013,3,13,1055855,6,1,1,21,31,0,5,109870,2,3,3,3,2,3,0.457,1.221
0003 014,3,14,848423,8,1,1,13,31,0,2,-76243,3,4,4,3,2,3,0.457,3.358
0003 015,3,15,707434,9,1,1,13,11,1,5,182036,3,3,2,3,2,3,0.457,-0.05
0003 016,3,16,1027457,4,1,1,21,22,1,4,95620,4,4,4,4,4,4,0.457,1.824
0003 017,3,17,911178,4,1,1,31,22,0,1,-168485,3,3,4,3,4,3,0.457,2.878
0003 018,3,18,812632,8,1,1,11,22,1,2,-96458,4,4,4,4,3,3,0.457,2.311
0003 019,3,19,1112146,5,1,1,13,12,0,2,-75124,4,4,4,5,5,5,0.457,3.753
0003 020,3,20,873408,5,1,1,12,21,1,3,28901,5,5,4,4,4,3,0.457,0.875
0003 021,3,21,944792,7,1,1,21,11,1,3,4152,3,4,4,4,4,4,0.457,3.743
0003 022,3,22,1163422,4,1,1,12,22,1,5,195684,3,4,3,4,3,4,0.457,2.797
0003 023,3,23,905106,3,1,1,13,21,1,4,31089,4,5,5,4,3,4,0.457,1.028
0003 024,3,24,815207,5,1,1,13,21,0,2,-47281,4,3,4,4,3,4,0.457,3.417
0003 025,3,25,956589,8,1,1,11,31,1,5,144909,4,4,4,4,4,4,0.457,2.329
0004 001,4,1,992195,6,1,1,11,22,0,2,-54672,3,3,3,3,3,3,0.893,2.52
0004 002,4,2,986221,5,1,1,11,21,1,4,68173,4,4,4,4,4,4,0.893,3.983
0004 003,4,3,1205835,3,1,1,32,11,0,2,-30575,5,4,4,2,3,2,0.893,2.746
0004 004,4,4,1114581,5,1,1,21,12,0,2,-57646,3,3,3,4,4,3,0.893,4.16
0004 005,4,5,1051130,6,1,1,11,22,1,4,46897,3,4,4,5,5,4,0.893,4.68
0004 006,4,6,1214813,1,1,1,31,12,0,4,45902,3,4,4,3,3,4,0.893,2.472
0004 007,4,7,955265,6,1,1,31,11,0,5,201645,3,4,3,4,4,4,0.893,4.214
0004 008,4,8,1015251,3,1,1,21,21,1,5,118001,3,4,3,4,4,4,0.893,4.37
0004 009,4,9,918352,6,1,1,12,22,1,5,108632,4,4,4,4,4,4,0.893,5.082
0004 010,4,10,1017204,9,1,1,12,11,1,5,128260,4,3,4,4,4,4,0.893,3.891
0004 011,4,11,975412,6,1,1,12,22,1,5,161254,4,4,4,4,4,4,0.893,3.819
0004 012,4,12,772156,5,1,1,21,22,1,4,33178,4,5,4,3,4,3,0.893,2.877
0004 013,4,13,1052848,5,1,1,31,22,0,4,38914,3,3,2,2,1,2,0.893,2.377
0004 014,4,14,1020274,4,1,1,21,12,1,2,-61931,4,4,4,4,3,4,0.893,4.124
0004 015,4,15,1091951,5,1,1,32,22,0,3,27582,3,3,3,3,3,4,0.893,1.124
0004 016,4,16,900953,6,1,1,31,12,1,4,94451,4,3,4,3,3,3,0.893,2.003
0004 017,4,17,1183831,4,1,1,11,21,1,4,81291,4,4,4,4,4,4,0.893,4.854
0004 018,4,18,852160,11,1,1,12,11,0,2,-76040,3,3,3,2,3,3,0.893,2.364
0004 019,4,19,1088015,7,1,1,32,21,0,4,39019,3,2,4,4,4,4,0.893,5.477
0004 020,4,20,710559,3,1,1,21,21,1,4,71521,4,4,4,4,4,3,0.893,4.07
0004 021,4,21,1065632,4,1,1,11,11,0,5,122646,4,3,4,3,4,3,0.893,3.332
0004 022,4,22,741802,3,1,1,32,11,1,5,180089,4,4,4,3,2,2,0.893,2.955
0004 023,4,23,1016158,4,1,1,11,22,1,4,57777,4,4,3,3,3,3,0.893,3.543
0004 024,4,24,867640,4,1,1,12,31,1,5,146696,5,5,4,3,2,2,0.893,1.155
0004 025,4,25,887129,3,1,1,11,31,1,4,42772,4,4,4,3,3,3,0.893,3.674
0005 001,5,1,1040257,8,1,1,13,31,0,2,-74616,4,4,4,3,3,3,0.299,3.149
0005 002,5,2,1029324,8,1,1,31,12,0,2,-31370,2,3,3,3,4,2,0.299,2.854
0005 003,5,3,1072442,5,1,1,31,12,0,2,-39236,3,3,2,3,3,3,0.299,3.967
0005 004,5,4,999208,6,1,1,21,31,0,2,-60037,3,3,3,2,2,2,0.299,3.715
0005 005,5,5,1219584,2,1,1,31,22,0,1,-107786,3,3,3,4,4,3,0.299,1.464
0005 006,5,6,1122601,5,1,1,13,22,0,2,-86196,4,4,3,3,4,4,0.299,3.93
0005 007,5,7,1172316,6,1,1,31,22,1,1,-188331,3,4,3,3,3,3,0.299,1.728
0005 008,5,8,1005290,4,1,1,31,21,1,4,71452,5,4,4,3,4,4,0.299,4.217
0005 009,5,9,963499,5,1,1,21,11,1,4,38832,4,4,4,4,4,4,0.299,2.996
0005 010,5,10,782273,6,1,1,12,11,0,3,26946,4,4,4,3,3,3,0.299,2.279
0005 011,5,11,1025178,4,1,1,21,22,0,1,-129591,3,3,3,3,3,3,0.299,2.915
0005 012,5,12,1053759,8,1,1,21,12,0,5,101666,4,4,3,2,3,3,0.299,3.423
0005 013,5,13,1067061,3,1,1,13,22,1,3,6565,4,4,4,3,3,3,0.299,3.091
0005 014,5,14,958325,2,1,1,13,21,1,2,-35620,3,3,4,3,3,3,0.299,4.672
0005 015,5,15,1136737,11,1,1,31,31,1,5,221350,4,3,3,3,4,4,0.299,3.888
0005 016,5,16,1030675,6,1,1,12,22,1,5,159139,4,4,4,4,3,4,0.299,1.859
0005 017,5,17,932793,6,1,1,21,21,0,5,103325,3,3,3,3,2,3,0.299,1.673
0005 018,5,18,1120803,4,1,1,31,21,0,1,-108720,4,2,2,3,4,3,0.299,3.008
0005 019,5,19,1075706,7,1,1,32,22,1,3,18536,4,5,4,3,3,3,0.299,1.617
0005 020,5,20,1042495,6,1,1,21,22,0,2,-81189,2,3,3,3,4,3,0.299,5.881
0005 021,5,21,989369,6,1,1,21,21,0,2,-70454,3,2,4,2,4,2,0.299,5.015
0005 022,5,22,784460,4,1,1,12,21,0,4,83845,3,4,3,4,4,4,0.299,5.488
0005 023,5,23,827620,4,1,1,21,21,0,3,-28972,4,4,3,4,3,4,0.299,4.459
0005 024,5,24,1073434,4,1,1,11,12,1,4,93457,4,3,4,3,2,3,0.299,1.122
0005 025,5,25,856336,9,1,1,31,22,1,4,95788,3,3,2,2,2,2,0.299,2.856
0006 001,6,1,988391,5,1,1,31,12,1,4,70099,4,4,4,4,4,4,-0.025,2.689
0006 002,6,2,955258,5,1,1,11,21,1,1,-110058,4,4,4,3,4,4,-0.025,2.119
0006 003,6,3,1109610,6,1,1,11,31,1,3,-18608,5,4,4,4,4,4,-0.025,5.758
0006 004,6,4,1104060,8,1,1,13,12,1,4,64478,5,4,4,3,4,3,-0.025,4.481
0006 005,6,5,889992,5,1,1,11,31,0,3,-11107,4,4,4,3,4,4,-0.025,5.617
0006 006,6,6,928782,4,1,1,11,31,1,5,131357,4,4,5,4,4,3,-0.025,4.482
0006 007,6,7,810473,6,1,1,12,31,0,5,111515,4,3,4,5,4,4,-0.025,4.356
0006 008,6,8,1074868,2,1,1,11,11,0,3,25518,3,3,3,3,4,3,-0.025,2.03
0006 009,6,9,923310,6,1,1,31,11,0,3,3725,2,2,3,3,2,3,-0.025,2.665
0006 010,6,10,980421,2,1,1,11,22,1,3,-25659,3,3,4,2,2,3,-0.025,1.849
0006 011,6,11,1035038,5,1,1,13,31,0,3,-19990,3,3,3,2,2,3,-0.025,2.306
0006 012,6,12,1023690,3,1,1,21,11,1,3,29421,4,3,3,3,3,3,-0.025,2.808
0006 013,6,13,816878,5,1,1,21,22,1,2,-36561,3,3,3,3,3,4,-0.025,5.791
0006 014,6,14,1078754,7,1,1,12,21,0,3,-17844,4,3,4,2,2,3,-0.025,3.267
0006 015,6,15,1073536,1,1,1,12,31,1,1,-135408,4,4,4,3,4,3,-0.025,3.548
0006 016,6,16,845092,6,1,1,12,12,0,2,-47089,4,5,3,3,4,3,-0.025,4.573
0006 017,6,17,979145,6,1,1,31,31,1,4,31803,2,3,3,3,3,3,-0.025,1.912
0006 018,6,18,945557,6,1,1,12,11,1,4,91031,4,4,4,4,4,4,-0.025,3.585
0006 019,6,19,1268522,5,1,1,13,12,1,3,24759,4,4,3,3,3,4,-0.025,3.089
0006 020,6,20,1023062,4,1,1,11,21,0,3,19491,3,3,4,3,3,3,-0.025,3.819
0006 021,6,21,1081719,5,1,1,11,21,1,3,15186,3,4,4,4,3,4,-0.025,5.15
0006 022,6,22,1025848,2,1,1,13,21,0,2,-91823,3,3,4,3,3,4,-0.025,4.368
0006 023,6,23,1100371,3,1,1,11,11,1,4,70038,4,4,4,3,3,3,-0.025,2.949
0006 024,6,24,1087433,5,1,1,32,11,1,4,91132,4,4,3,2,2,3,-0.025,2.628
0006 025,6,25,1098440,6,1,1,11,21,0,4,77202,3,2,2,4,4,4,-0.025,3.185
0007 001,7,1,1045955,4,1,1,31,31,1,5,127897,3,3,3,4,4,4,0.297,5.113
0007 002,7,2,1061360,10,1,1,13,11,0,4,96850,4,4,4,4,4,4,0.297,3.482
0007 003,7,3,1120255,7,1,1,21,11,1,5,192161,3,4,3,4,3,3,0.297,4.411
0007 004,7,4,1044546,3,1,1,32,12,1,4,94007,4,3,3,2,2,3,0.297,3.399
0007 005,7,5,988387,3,1,1,32,21,1,4,62299,3,3,3,2,2,2,0.297,1.823
0007 006,7,6,1070578,2,1,1,21,11,0,4,44112,4,4,4,3,4,3,0.297,1.974
0007 007,7,7,846575,8,1,1,11,21,1,3,26644,3,3,3,3,3,3,0.297,2.314
0007 008,7,8,748447,2,1,1,13,11,1,4,61458,3,4,3,3,3,3,0.297,2.487
0007 009,7,9,1144771,3,1,1,13,12,1,5,109907,4,4,4,3,3,3,0.297,3.866
0007 010,7,10,997495,6,1,1,31,12,0,3,-9136,4,3,3,4,5,4,0.297,1.365
0007 011,7,11,1057882,5,1,1,13,12,0,3,10837,3,3,4,3,3,3,0.297,2.634
0007 012,7,12,993165,4,1,1,31,11,1,4,72495,4,4,4,3,4,3,0.297,3.633
0007 013,7,13,985120,7,1,1,32,11,1,2,-92968,3,5,3,3,3,2,0.297,4.325
0007 014,7,14,902746,2,1,1,13,11,1,4,88551,3,4,3,4,3,4,0.297,1.964
0007 015,7,15,1043991,9,1,1,31,21,0,2,-70624,3,4,3,4,3,4,0.297,2.235
0007 016,7,16,864674,8,1,1,13,11,0,3,-14068,4,3,3,3,2,3,0.297,2.553
0007 017,7,17,1107256,5,1,1,11,12,0,2,-71149,3,4,3,3,3,3,0.297,3.853
0007 018,7,18,1045060,4,1,1,11,22,1,3,-8103,4,4,4,2,2,3,0.297,0.833
0007 019,7,19,969319,4,1,1,31,12,0,2,-91311,2,3,4,4,4,4,0.297,3.968
0007 020,7,20,1137279,5,1,1,12,12,1,4,53547,3,5,4,4,5,4,0.297,4.575
0007 021,7,21,1149698,9,1,1,21,21,1,4,82384,4,3,3,2,3,4,0.297,2.998
0007 022,7,22,990601,5,1,1,11,11,0,2,-64465,4,4,4,3,4,3,0.297,4.884
0007 023,7,23,949719,1,1,1,11,11,1,4,77044,5,4,5,4,4,3,0.297,1.239
0007 024,7,24,1035555,6,1,1,11,31,0,2,-80289,4,4,4,2,3,2,0.297,1.829
0007 025,7,25,796488,4,1,1,32,31,1,3,9838,4,3,3,3,3,4,0.297,3.567
0008 001,8,1,1072161,5,1,1,32,22,1,4,91029,3,3,3,3,3,3,1.364,2.873
0008 002,8,2,917777,3,1,1,13,21,0,4,70754,4,4,3,5,4,4,1.364,2.677
0008 003,8,3,980635,6,1,1,12,11,0,5,120814,4,4,3,3,3,3,1.364,1.263
0008 004,8,4,844910,5,1,1,13,12,0,5,123728,4,4,3,4,4,4,1.364,2.88
0008 005,8,5,919817,10,1,1,31,22,1,4,65131,4,3,3,2,3,4,1.364,2.58
0008 006,8,6,932145,3,1,1,12,11,1,5,126421,5,4,3,4,4,4,1.364,3.779
0008 007,8,7,1207796,6,1,1,32,12,0,4,49663,4,4,4,4,4,3,1.364,4.325
0008 008,8,8,1248866,10,1,1,21,11,1,5,110767,5,5,5,5,5,5,1.364,2.493
0008 009,8,9,921308,3,1,1,11,11,1,5,113885,5,4,5,2,3,3,1.364,2.28
0008 010,8,10,950968,1,1,1,21,12,1,2,-50443,4,5,4,4,3,3,1.364,4.029
0008 011,8,11,1102404,4,1,1,12,21,1,5,125053,4,4,4,3,4,4,1.364,3.313
0008 012,8,12,938410,11,1,1,32,21,1,3,8552,3,3,3,2,2,2,1.364,3.039
0008 013,8,13,817122,8,1,1,11,22,0,3,23760,3,3,3,2,3,3,1.364,1.087
0008 014,8,14,1036374,3,1,1,21,22,1,5,128353,4,4,4,5,4,3,1.364,4.872
0008 015,8,15,1075768,5,1,1,12,11,1,2,-45903,4,4,4,3,3,3,1.364,3.642
0008 016,8,16,908785,7,1,1,11,12,1,4,51474,4,4,4,3,3,3,1.364,4.054
0008 017,8,17,1295653,10,1,1,31,12,1,4,63750,4,3,4,4,4,4,1.364,2.163
0008 018,8,18,1071368,5,1,1,11,12,0,4,43675,5,5,5,5,5,5,1.364,4.985
0008 019,8,19,1143979,3,1,1,11,31,1,4,71817,5,4,4,3,4,3,1.364,1.469
0008 020,8,20,1170316,5,1,1,31,12,1,4,93842,4,3,4,3,3,3,1.364,3.132
0008 021,8,21,1040081,3,1,1,13,22,1,5,110536,4,3,3,3,3,3,1.364,3.068
0008 022,8,22,918177,6,1,1,11,31,0,2,-57038,3,4,4,3,4,3,1.364,1.879
0008 023,8,23,1236542,6,1,1,31,11,1,4,79095,4,4,4,4,4,4,1.364,3.035
0008 024,8,24,1034895,5,1,1,13,22,1,5,181960,5,4,4,5,5,5,1.364,3.884
0008 025,8,25,834218,7,1,1,21,12,1,4,81261,4,4,4,4,4,4,1.364,3.242
0009 001,9,1,884847,7,1,1,32,12,0,1,-157567,3,3,3,4,3,2,-1.461,-0.385
0009 002,9,2,1130522,6,1,1,21,11,0,2,-48784,4,3,4,4,2,3,-1.461,1.444
0009 003,9,3,988475,9,1,1,11,21,0,1,-155693,3,3,3,2,3,3,-1.461,1.761
0009 004,9,4,1148457,6,1,1,31,12,1,2,-82458,4,4,3,3,4,4,-1.461,0.328
0009 005,9,5,957739,5,1,1,12,21,0,1,-138724,3,3,3,3,3,3,-1.461,3.979
0009 006,9,6,1042962,5,1,1,12,12,1,1,-103801,3,3,3,3,3,3,-1.461,1.607
0009 007,9,7,1165783,3,1,1,21,12,1,2,-63869,3,3,3,3,3,2,-1.461,-0.052
0009 008,9,8,1025881,4,1,1,31,12,1,3,14863,3,3,3,3,3,3,-1.461,1.035
0009 009,9,9,928566,3,1,1,31,21,0,2,-76069,3,3,3,3,3,4,-1.461,2.769
0009 010,9,10,1073935,6,1,1,31,22,1,1,-145002,4,3,3,3,4,4,-1.461,3.303
0009 011,9,11,938244,4,1,1,31,11,1,2,-40234,4,3,3,3,3,3,-1.461,1.309
0009 012,9,12,1094042,8,1,1,13,22,0,1,-220800,3,4,4,2,3,3,-1.461,2.18
0009 013,9,13,1215530,5,1,1,21,21,1,1,-114412,4,4,4,3,3,2,-1.461,2.624
0009 014,9,14,894207,6,1,1,32,21,0,3,6354,3,2,3,3,3,3,-1.461,2.376
0009 015,9,15,819327,10,1,1,13,21,1,2,-39446,3,3,3,3,4,4,-1.461,-1.064
