shapeID,date,t,cohort,first_treat_t,rel_time,treat_now,log_avg_rad
UNIT-01,2022-01-01,1,2023-07,19,-18,0,2.4777
UNIT-01,2022-02-01,2,2023-07,19,-17,0,2.4614
UNIT-01,2022-03-01,3,2023-07,19,-16,0,2.5003
UNIT-01,2022-04-01,4,2023-07,19,-15,0,2.5668
UNIT-01,2022-05-01,5,2023-07,19,-14,0,2.5652
UNIT-01,2022-06-01,6,2023-07,19,-13,0,2.5738
UNIT-01,2022-07-01,7,2023-07,19,-12,0,2.5185
UNIT-01,2022-08-01,8,2023-07,19,-11,0,2.5939
UNIT-01,2022-09-01,9,2023-07,19,-10,0,2.5496
UNIT-01,2022-10-01,10,2023-07,19,-9,0,2.5095
UNIT-01,2022-11-01,11,2023-07,19,-8,0,2.5223
UNIT-01,2022-12-01,12,2023-07,19,-7,0,2.5618
UNIT-01,2023-01-01,13,2023-07,19,-6,0,2.5484
UNIT-01,2023-02-01,14,2023-07,19,-5,0,2.5419
UNIT-01,2023-03-01,15,2023-07,19,-4,0,2.6034
UNIT-01,2023-04-01,16,2023-07,19,-3,0,2.5794
UNIT-01,2023-05-01,17,2023-07,19,-2,0,2.5997
UNIT-01,2023-06-01,18,2023-07,19,-1,0,2.5856
UNIT-01,2023-07-01,19,2023-07,19,0,1,2.5622
UNIT-01,2023-08-01,20,2023-07,19,1,1,2.5837
UNIT-01,2023-09-01,21,2023-07,19,2,1,2.6634
UNIT-01,2023-10-01,22,2023-07,19,3,1,2.646
UNIT-01,2023-11-01,23,2023-07,19,4,1,2.6809
UNIT-01,2023-12-01,24,2023-07,19,5,1,2.6666
UNIT-01,2024-01-01,25,2023-07,19,6,1,2.6409
UNIT-01,2024-02-01,26,2023-07,19,7,1,2.5735
UNIT-01,2024-03-01,27,2023-07,19,8,1,2.6976
UNIT-01,2024-04-01,28,2023-07,19,9,1,2.6593
UNIT-01,2024-05-01,29,2023-07,19,10,1,2.6687
UNIT-01,2024-06-01,30,2023-07,19,11,1,2.6994
UNIT-01,2024-07-01,31,2023-07,19,12,1,2.7144
UNIT-01,2024-08-01,32,2023-07,19,13,1,2.6473
UNIT-01,2024-09-01,33,2023-07,19,14,1,2.7087
UNIT-01,2024-10-01,34,2023-07,19,15,1,2.7092
UNIT-01,2024-11-01,35,2023-07,19,16,1,2.7088
UNIT-01,2024-12-01,36,2023-07,19,17,1,2.7319
UNIT-01,2025-01-01,37,2023-07,19,18,1,2.7013
UNIT-01,2025-02-01,38,2023-07,19,19,1,2.6247
UNIT-01,2025-03-01,39,2023-07,19,20,1,2.6497
UNIT-01,2025-04-01,40,2023-07,19,21,1,2.6765
UNIT-01,2025-05-01,41,2023-07,19,22,1,2.6946
UNIT-01,2025-06-01,42,2023-07,19,23,1,2.6946
UNIT-01,2025-07-01,43,2023-07,19,24,1,2.6557
UNIT-01,2025-08-01,44,2023-07,19,25,1,2.6691
UNIT-01,2025-09-01,45,2023-07,19,26,1,2.7297
UNIT-01,2025-10-01,46,2023-07,19,27,1,2.7235
UNIT-01,2025-11-01,47,2023-07,19,28,1,2.7355
UNIT-01,2025-12-01,48,2023-07,19,29,1,2.7043
UNIT-02,2022-01-01,1,2024-01,25,-24,0,2.5911
UNIT-02,2022-02-01,2,2024-01,25,-23,0,2.6507
UNIT-02,2022-03-01,3,2024-01,25,-22,0,2.6612
UNIT-02,2022-04-01,4,2024-01,25,-21,0,2.5773
UNIT-02,2022-05-01,5,2024-01,25,-20,0,2.6272
UNIT-02,2022-06-01,6,2024-01,25,-19,0,2.5653
UNIT-02,2022-07-01,7,2024-01,25,-18,0,2.6055
UNIT-02,2022-08-01,8,2024-01,25,-17,0,2.6344
UNIT-02,2022-09-01,9,2024-01,25,-16,0,2.6007
UNIT-02,2022-10-01,10,2024-01,25,-15,0,2.6239
UNIT-02,2022-11-01,11,2024-01,25,-14,0,2.6216
UNIT-02,2022-12-01,12,2024-01,25,-13,0,2.5967
UNIT-02,2023-01-01,13,2024-01,25,-12,0,2.5874
UNIT-02,2023-02-01,14,2024-01,25,-11,0,2.6671
UNIT-02,2023-03-01,15,2024-01,25,-10,0,2.5927
UNIT-02,2023-04-01,16,2024-01,25,-9,0,2.6231
UNIT-02,2023-05-01,17,2024-01,25,-8,0,2.6486
UNIT-02,2023-06-01,18,2024-01,25,-7,0,2.5374
UNIT-02,2023-07-01,19,2024-01,25,-6,0,2.6334
