biz_id,city,pre_sales_index,floor_area_m2,dist_road_m,frontage_m,years_open,program,post_sales_index
KHM-B0001,Phnom Penh,82.6,28.7,356.0,5.5,26,0,77.6
KHM-B0002,Phnom Penh,113.3,55.9,657.0,2.6,8,1,126.6
KHM-B0003,Phnom Penh,86.0,36.7,585.0,10.1,13,1,96.6
KHM-B0004,Phnom Penh,74.7,25.3,270.0,5.8,2,0,91.9
KHM-B0005,Phnom Penh,109.5,33.0,933.0,2.1,6,0,111.9
KHM-B0006,Phnom Penh,90.8,17.7,978.0,6.5,1,0,104.3
KHM-B0007,Phnom Penh,79.0,17.3,407.0,4.3,13,1,78.4
KHM-B0008,Phnom Penh,55.5,92.7,1290.0,7.5,28,0,60.0
KHM-B0009,Phnom Penh,91.1,61.8,459.0,8.1,10,0,94.4
KHM-B0010,Phnom Penh,110.8,45.8,736.0,6.6,20,0,118.0
KHM-B0011,Phnom Penh,81.5,19.0,176.0,3.2,21,0,82.9
KHM-B0012,Phnom Penh,98.7,38.3,300.0,6.2,17,0,101.6
KHM-B0013,Phnom Penh,113.6,40.9,327.0,5.9,25,1,116.5
KHM-B0014,Phnom Penh,102.4,14.5,258.0,4.1,9,0,106.4
KHM-B0015,Phnom Penh,62.7,24.9,432.0,5.6,3,0,72.5
KHM-B0016,Phnom Penh,84.8,19.2,502.0,4.8,13,0,97.3
KHM-B0017,Phnom Penh,98.2,25.6,624.0,5.6,20,0,95.7
KHM-B0018,Phnom Penh,132.1,27.9,175.0,9.8,8,1,130.0
KHM-B0019,Phnom Penh,119.0,66.7,402.0,8.0,7,1,134.0
KHM-B0020,Phnom Penh,91.0,21.7,302.0,4.9,28,0,98.3
KHM-B0021,Phnom Penh,98.3,35.6,43.0,6.5,23,0,103.8
KHM-B0022,Phnom Penh,113.0,10.0,306.0,9.7,5,1,115.3
KHM-B0023,Phnom Penh,76.4,35.2,117.0,3.4,7,1,83.8
KHM-B0024,Phnom Penh,104.8,19.1,1329.0,5.5,9,0,95.4
KHM-B0025,Phnom Penh,133.7,30.5,453.0,5.8,16,1,135.1
KHM-B0026,Phnom Penh,87.9,60.9,213.0,5.1,1,0,91.4
KHM-B0027,Phnom Penh,93.4,40.0,327.0,3.5,9,0,105.8
KHM-B0028,Phnom Penh,84.9,42.1,779.0,7.1,20,0,93.9
KHM-B0029,Phnom Penh,133.3,10.0,729.0,7.0,24,1,134.4
KHM-B0030,Phnom Penh,92.2,31.3,493.0,8.3,19,1,110.8
KHM-B0031,Phnom Penh,93.0,48.6,259.0,4.7,10,0,97.8
KHM-B0032,Phnom Penh,46.5,47.1,289.0,5.4,19,0,58.1
KHM-B0033,Phnom Penh,110.3,35.2,500.0,7.8,14,1,113.5
KHM-B0034,Phnom Penh,119.7,51.3,1132.0,3.6,28,0,114.6
KHM-B0035,Phnom Penh,85.9,59.4,347.0,2.1,10,0,90.2
KHM-B0036,Phnom Penh,122.0,22.4,1184.0,9.8,26,0,127.0
KHM-B0037,Phnom Penh,96.0,37.7,807.0,6.4,25,0,98.9
KHM-B0038,Phnom Penh,115.6,31.1,572.0,6.1,1,0,118.3
KHM-B0039,Phnom Penh,61.4,31.9,198.0,2.1,6,0,66.2
KHM-B0040,Phnom Penh,102.0,30.2,575.0,7.9,19,1,109.3
KHM-B0041,Phnom Penh,75.8,26.9,166.0,2.9,15,0,81.0
KHM-B0042,Phnom Penh,89.7,39.9,1222.0,6.2,16,0,98.9
KHM-B0043,Phnom Penh,129.0,23.8,1231.0,3.9,7,0,129.3
KHM-B0044,Phnom Penh,101.9,38.2,496.0,7.4,9,0,98.6
KHM-B0045,Phnom Penh,88.7,35.6,692.0,2.0,11,0,80.8
KHM-B0046,Phnom Penh,98.5,21.0,722.0,5.1,8,0,88.2
KHM-B0047,Phnom Penh,94.8,20.0,104.0,8.4,20,0,102.7
KHM-B0048,Phnom Penh,119.0,45.4,110.0,8.5,6,1,123.3
KHM-B0049,Phnom Penh,128.9,47.2,1454.0,2.5,3,0,135.7
KHM-B0050,Phnom Penh,91.3,25.4,119.0,5.4,17,1,90.8
KHM-B0051,Phnom Penh,85.0,16.5,1275.0,6.5,6,0,84.0
KHM-B0052,Phnom Penh,134.5,70.8,266.0,6.4,16,0,137.9
KHM-B0053,Phnom Penh,106.4,26.3,143.0,4.8,1,1,115.5
KHM-B0054,Phnom Penh,104.4,32.4,349.0,7.4,15,0,109.1
KHM-B0055,Phnom Penh,86.1,25.2,325.0,4.8,9,0,91.5
KHM-B0056,Phnom Penh,93.9,24.6,482.0,5.2,17,0,97.1
KHM-B0057,Phnom Penh,88.1,80.3,352.0,6.8,13,0,94.4
KHM-B0058,Phnom Penh,87.7,20.2,231.0,8.1,28,0,87.2
KHM-B0059,Phnom Penh,79.5,42.9,333.0,3.2,13,0,85.8
KHM-B0060,Phnom Penh,86.7,18.9,844.0,3.4,30,0,86.4
KHM-B0061,Phnom Penh,124.7,29.1,537.0,12.1,8,1,136.8
KHM-B0062,Phnom Penh,111.3,11.5,615.0,5.5,21,0,120.8
KHM-B0063,Phnom Penh,95.1,44.0,1078.0,4.3,22,1,108.0
KHM-B0064,Phnom Penh,75.5,22.3,561.0,5.8,26,0,81.6
KHM-B0065,Phnom Penh,75.4,16.7,1300.0,7.4,13,0,82.1
KHM-B0066,Phnom Penh,88.9,25.7,198.0,7.5,7,0,93.6
KHM-B0067,Phnom Penh,47.3,26.5,443.0,6.1,8,0,67.8
KHM-B0068,Phnom Penh,115.8,36.5,725.0,7.7,11,1,133.2
KHM-B0069,Phnom Penh,90.6,10.0,420.0,5.1,23,1,103.0
KHM-B0070,Phnom Penh,82.7,14.7,1493.0,7.8,22,0,81.3
KHM-B0071,Phnom Penh,130.5,33.6,655.0,7.3,11,0,127.2
KHM-B0072,Phnom Penh,75.4,51.3,331.0,7.3,2,0,88.7
KHM-B0073,Phnom Penh,105.8,13.8,488.0,4.6,21,0,111.4
KHM-B0074,Phnom Penh,121.1,41.4,69.0,6.3,2,0,129.2
KHM-B0075,Phnom Penh,84.7,41.1,378.0,7.3,3,1,99.2
KHM-B0076,Phnom Penh,112.4,75.7,265.0,3.6,17,1,128.4
KHM-B0077,Phnom Penh,63.2,30.2,196.0,9.4,9,0,78.8
KHM-B0078,Phnom Penh,156.7,37.6,372.0,7.8,17,0,143.1
KHM-B0079,Phnom Penh,84.3,30.3,397.0,2.0,26,0,88.7
KHM-B0080,Phnom Penh,89.0,46.7,276.0,8.9,1,0,106.9
KHM-B0081,Phnom Penh,80.0,47.2,231.0,9.3,8,0,87.5
KHM-B0082,Phnom Penh,126.7,24.4,302.0,3.1,30,0,136.7
KHM-B0083,Phnom Penh,92.4,25.5,1083.0,4.1,8,0,94.6
KHM-B0084,Phnom Penh,91.0,34.9,20.0,7.2,14,0,98.9
KHM-B0085,Phnom Penh,133.1,20.2,234.0,7.0,14,1,143.1
KHM-B0086,Phnom Penh,116.6,41.2,188.0,6.2,6,0,119.1
KHM-B0087,Phnom Penh,89.4,14.4,676.0,4.4,21,0,84.9
KHM-B0088,Phnom Penh,63.8,17.3,405.0,7.1,13,0,72.5
KHM-B0089,Phnom Penh,74.3,32.0,910.0,8.0,30,0,87.0
KHM-B0090,Phnom Penh,140.2,43.4,224.0,8.2,10,1,145.0
KHM-B0091,Phnom Penh,87.7,22.4,395.0,6.5,12,1,96.5
KHM-B0092,Phnom Penh,80.2,16.7,116.0,7.2,5,0,89.4
KHM-B0093,Phnom Penh,105.4,47.7,650.0,5.8,25,0,107.3
KHM-B0094,Phnom Penh,65.5,25.7,86.0,9.4,26,0,76.9
KHM-B0095,Phnom Penh,138.9,15.7,490.0,6.2,26,1,142.2
KHM-B0096,Phnom Penh,75.5,20.8,401.0,8.2,8,0,88.9
