shapeID,slope_deg_srtm,elevation_m,transit_access_index,mean_floor_area_m2,building_age_yr,log_land_price
KHM-ADM3-001,6.762,39.6,3.708,95.6,40,8.662
KHM-ADM3-002,3.59,36.2,3.808,107.2,1,7.7419
KHM-ADM3-003,0.844,6.7,5.274,105.7,25,7.8815
KHM-ADM3-004,0.786,-0.2,4.909,58.9,10,8.3828
KHM-ADM3-005,3.913,49.7,4.873,54.8,14,9.2861
KHM-ADM3-006,4.964,46.8,3.905,74.0,10,8.2209
KHM-ADM3-007,13.951,87.4,1.972,69.4,37,7.6188
KHM-ADM3-008,1.467,17.1,3.929,83.3,39,7.9576
KHM-ADM3-009,1.315,11.5,5.001,75.8,19,7.9517
KHM-ADM3-010,8.562,68.1,2.235,71.9,3,6.5731
KHM-ADM3-011,1.683,29.2,3.469,73.1,7,7.3811
KHM-ADM3-012,0.768,18.0,5.023,86.3,25,8.5181
KHM-ADM3-013,2.59,30.9,3.479,78.2,12,7.5723
KHM-ADM3-014,7.828,62.0,2.826,90.6,37,8.7642
KHM-ADM3-015,4.501,34.1,4.243,62.2,21,8.2212
KHM-ADM3-016,1.042,22.8,4.253,74.6,11,7.6863
KHM-ADM3-017,1.448,24.1,3.837,78.4,17,7.6336
KHM-ADM3-018,7.073,67.7,2.098,60.3,32,6.7174
KHM-ADM3-019,10.564,75.7,3.207,68.7,29,8.655
KHM-ADM3-020,0.675,18.1,5.201,81.7,37,7.9655
KHM-ADM3-021,0.595,34.7,3.928,71.6,32,7.6227
KHM-ADM3-022,9.686,80.7,3.273,68.0,39,8.5947
KHM-ADM3-023,1.457,13.3,5.194,72.2,19,8.1396
KHM-ADM3-024,9.2,82.9,3.198,68.8,3,7.5289
KHM-ADM3-025,0.297,17.2,5.071,84.6,25,7.5055
KHM-ADM3-026,8.743,63.1,2.156,71.5,40,7.1364
KHM-ADM3-027,4.218,30.6,5.37,56.2,17,9.3406
KHM-ADM3-028,6.184,52.5,3.54,81.2,35,7.6167
KHM-ADM3-029,3.663,27.3,4.935,59.3,14,8.7021
KHM-ADM3-030,1.894,19.2,4.925,106.1,9,8.6478
KHM-ADM3-031,4.692,19.6,4.474,84.7,35,8.4401
KHM-ADM3-032,6.24,41.2,2.75,81.0,3,7.172
KHM-ADM3-033,13.901,90.4,1.13,90.1,38,6.5051
KHM-ADM3-034,3.995,35.5,3.707,87.7,39,7.4837
KHM-ADM3-035,9.864,69.2,3.144,67.4,14,8.8162
KHM-ADM3-036,4.85,40.7,3.963,85.7,18,7.8641
KHM-ADM3-037,1.247,31.7,4.041,97.0,14,7.724
KHM-ADM3-038,1.299,16.9,5.09,80.5,21,8.3132
KHM-ADM3-039,13.761,90.4,2.232,86.7,22,8.4942
KHM-ADM3-040,6.16,52.2,3.823,49.2,15,8.3844
KHM-ADM3-041,5.155,40.7,3.589,80.9,7,7.6989
KHM-ADM3-042,12.18,80.6,3.032,62.4,7,8.2732
KHM-ADM3-043,6.077,51.9,2.06,93.0,13,6.4056
KHM-ADM3-044,5.564,40.6,3.815,69.1,3,8.2718
KHM-ADM3-045,5.199,36.5,4.809,80.1,40,8.9315
KHM-ADM3-046,3.747,31.0,3.014,92.2,7,7.1706
KHM-ADM3-047,0.982,33.2,5.476,57.5,15,8.7113
KHM-ADM3-048,2.199,33.5,3.715,60.3,38,7.2096
KHM-ADM3-049,1.883,16.6,3.588,86.6,26,7.4582
KHM-ADM3-050,5.037,52.8,4.65,79.7,5,8.4001
KHM-ADM3-051,1.076,10.3,4.647,83.5,24,8.7072
KHM-ADM3-052,7.448,56.8,3.666,57.0,40,8.8139
KHM-ADM3-053,1.906,21.0,5.525,73.8,28,8.8603
KHM-ADM3-054,1.696,22.3,5.781,52.5,16,9.0479
KHM-ADM3-055,1.963,29.4,4.402,63.4,23,8.1412
KHM-ADM3-056,2.662,31.8,4.762,50.1,27,8.0725
KHM-ADM3-057,3.735,34.1,4.599,90.8,14,8.1623
KHM-ADM3-058,3.357,37.1,3.771,85.0,1,8.1461
KHM-ADM3-059,1.752,26.4,4.151,94.8,35,8.4185
KHM-ADM3-060,11.355,86.9,3.194,83.4,12,8.1968
KHM-ADM3-061,6.413,55.2,3.591,81.8,16,7.5337
KHM-ADM3-062,10.216,70.0,2.584,84.2,3,7.7069
KHM-ADM3-063,15.141,108.5,0.39,48.3,32,6.5326
KHM-ADM3-064,3.059,26.6,5.384,69.2,26,8.7734
KHM-ADM3-065,4.023,28.7,4.001,82.8,6,8.659
KHM-ADM3-066,2.556,33.1,4.31,65.0,12,7.8017
KHM-ADM3-067,5.222,58.0,3.542,76.1,28,7.5594
KHM-ADM3-068,3.14,30.3,4.429,94.9,12,7.9396
KHM-ADM3-069,2.291,34.3,3.3,41.1,30,7.9606
KHM-ADM3-070,3.578,39.5,4.876,76.1,13,9.1957
KHM-ADM3-071,5.408,39.7,3.93,103.7,13,7.8815
KHM-ADM3-072,6.249,34.6,4.302,80.0,22,8.9808
KHM-ADM3-073,4.697,43.7,3.517,54.8,3,7.399
KHM-ADM3-074,9.801,76.1,2.318,106.1,31,6.6087
KHM-ADM3-075,10.664,72.3,1.387,82.1,16,7.3884
KHM-ADM3-076,2.606,31.1,5.143,92.4,12,8.6137
KHM-ADM3-077,2.457,32.2,4.542,96.3,29,7.9535
KHM-ADM3-078,15.281,102.9,1.339,73.2,29,7.3424
KHM-ADM3-079,7.146,43.0,5.303,87.0,24,9.5639
KHM-ADM3-080,2.771,34.1,4.154,67.7,36,8.3007
KHM-ADM3-081,1.833,30.7,4.498,66.8,34,8.4402
KHM-ADM3-082,3.009,19.8,4.105,110.9,1,7.4566
KHM-ADM3-083,4.146,36.4,5.851,82.5,12,8.8272
KHM-ADM3-084,8.793,65.9,2.902,64.1,9,7.6361
KHM-ADM3-085,4.439,40.3,3.91,75.6,39,8.0075
KHM-ADM3-086,3.881,41.2,3.348,77.3,17,6.745
KHM-ADM3-087,15.448,109.0,2.361,59.3,16,8.4664
KHM-ADM3-088,4.692,48.7,3.225,70.4,34,7.1293
