muni_id,population,running,eligible,invest_per_capita_usd,region_type,share_under15_pct
KEN-M001,24862.0,-25138.0,0,224.7,rural,44.2
KEN-M002,43413.0,-6587.0,0,280.4,secondary,42.8
KEN-M003,50306.0,306.0,1,460.4,rural,41.1
KEN-M004,64562.0,14562.0,1,646.2,secondary,53.5
KEN-M005,35749.0,-14251.0,0,407.5,rural,39.5
KEN-M006,48583.0,-1417.0,0,372.9,secondary,35.4
KEN-M007,47143.0,-2857.0,0,347.9,rural,43.7
KEN-M008,47590.0,-2410.0,0,592.0,rural,40.7
KEN-M009,40924.0,-9076.0,0,304.4,rural,40.7
KEN-M010,53904.0,3904.0,1,455.4,secondary,37.1
KEN-M011,52992.0,2992.0,1,505.2,secondary,30.3
KEN-M012,52982.0,2982.0,1,406.5,secondary,43.7
KEN-M013,51872.0,1872.0,1,508.4,rural,46.5
KEN-M014,47620.0,-2380.0,0,271.7,rural,34.2
KEN-M015,19615.0,-30385.0,0,282.8,rural,40.6
KEN-M016,50095.0,95.0,1,668.5,metropolitan,48.9
KEN-M017,68068.0,18068.0,1,453.5,metropolitan,42.9
KEN-M018,19228.0,-30772.0,0,270.1,rural,45.9
KEN-M019,72206.0,22206.0,1,770.1,metropolitan,42.5
KEN-M020,33511.0,-16489.0,0,257.2,rural,34.3
KEN-M021,37709.0,-12291.0,0,241.8,rural,41.7
KEN-M022,67887.0,17887.0,1,511.2,secondary,42.2
KEN-M023,51876.0,1876.0,1,430.2,metropolitan,48.4
KEN-M024,43814.0,-6186.0,0,388.2,secondary,38.1
KEN-M025,32914.0,-17086.0,0,429.5,metropolitan,43.6
KEN-M026,40511.0,-9489.0,0,318.0,secondary,43.6
KEN-M027,67320.0,17320.0,1,625.4,rural,43.3
KEN-M028,55699.0,5699.0,1,714.8,secondary,40.8
KEN-M029,53894.0,3894.0,1,507.7,rural,39.9
KEN-M030,31566.0,-18434.0,0,452.3,secondary,44.9
KEN-M031,54073.0,4073.0,1,510.4,rural,38.0
KEN-M032,28142.0,-21858.0,0,395.0,rural,48.3
KEN-M033,62308.0,12308.0,1,552.7,rural,45.6
KEN-M034,52229.0,2229.0,1,544.5,metropolitan,31.8
KEN-M035,60514.0,10514.0,1,536.6,rural,43.0
KEN-M036,65323.0,15323.0,1,584.7,rural,45.9
KEN-M037,18888.0,-31112.0,0,307.0,secondary,39.4
KEN-M038,50173.0,173.0,1,865.2,rural,40.0
KEN-M039,46081.0,-3919.0,0,429.1,rural,34.1
KEN-M040,46351.0,-3649.0,0,357.2,metropolitan,48.5
KEN-M041,38588.0,-11412.0,0,303.4,rural,41.1
KEN-M042,57209.0,7209.0,1,663.4,rural,41.0
KEN-M043,38822.0,-11178.0,0,507.4,rural,41.4
KEN-M044,56643.0,6643.0,1,481.4,secondary,36.9
KEN-M045,38837.0,-11163.0,0,354.0,metropolitan,36.2
KEN-M046,34714.0,-15286.0,0,237.0,secondary,40.4
KEN-M047,33254.0,-16746.0,0,314.1,rural,49.6
KEN-M048,28512.0,-21488.0,0,279.8,secondary,38.3
KEN-M049,45869.0,-4131.0,0,319.9,metropolitan,41.5
KEN-M050,56937.0,6937.0,1,574.4,metropolitan,35.0
KEN-M051,59582.0,9582.0,1,577.8,rural,39.7
KEN-M052,43807.0,-6193.0,0,359.9,rural,34.4
KEN-M053,37270.0,-12730.0,0,330.1,secondary,32.0
KEN-M054,78322.0,28322.0,1,492.3,rural,36.3
KEN-M055,44621.0,-5379.0,0,511.3,metropolitan,41.0
KEN-M056,63743.0,13743.0,1,625.7,metropolitan,38.4
KEN-M057,70870.0,20870.0,1,614.2,secondary,45.7
KEN-M058,44185.0,-5815.0,0,363.5,secondary,45.8
KEN-M059,49586.0,-414.0,0,518.5,secondary,40.2
KEN-M060,49778.0,-222.0,0,351.5,metropolitan,33.8
KEN-M061,44039.0,-5961.0,0,454.6,rural,40.6
KEN-M062,39277.0,-10723.0,0,308.2,secondary,47.1
KEN-M063,56243.0,6243.0,1,534.8,secondary,46.9
KEN-M064,67073.0,17073.0,1,566.2,metropolitan,39.4
KEN-M065,79197.0,29197.0,1,530.6,rural,36.8
KEN-M066,44914.0,-5086.0,0,425.8,secondary,37.5
KEN-M067,46246.0,-3754.0,0,300.0,rural,48.2
KEN-M068,38796.0,-11204.0,0,387.3,secondary,39.6
KEN-M069,26588.0,-23412.0,0,328.6,metropolitan,48.9
KEN-M070,64033.0,14033.0,1,515.4,secondary,45.8
KEN-M071,51431.0,1431.0,1,493.7,rural,49.9
KEN-M072,68829.0,18829.0,1,655.5,rural,37.9
KEN-M073,65381.0,15381.0,1,571.9,rural,43.4
KEN-M074,55184.0,5184.0,1,484.6,secondary,48.5
KEN-M075,52486.0,2486.0,1,360.8,rural,35.3
KEN-M076,42782.0,-7218.0,0,383.8,rural,45.0
KEN-M077,60471.0,10471.0,1,653.0,secondary,39.3
KEN-M078,66388.0,16388.0,1,653.8,rural,37.3
KEN-M079,57903.0,7903.0,1,474.3,metropolitan,37.9
KEN-M080,29957.0,-20043.0,0,332.2,rural,40.8
KEN-M081,72991.0,22991.0,1,510.6,rural,39.3
KEN-M082,36134.0,-13866.0,0,497.4,metropolitan,42.3
KEN-M083,63169.0,13169.0,1,632.7,secondary,36.4
KEN-M084,52575.0,2575.0,1,619.7,metropolitan,40.9
KEN-M085,48501.0,-1499.0,0,246.5,rural,35.0
KEN-M086,68270.0,18270.0,1,654.7,secondary,45.4
KEN-M087,72367.0,22367.0,1,637.2,rural,42.0
KEN-M088,53866.0,3866.0,1,557.6,rural,39.5
KEN-M089,73567.0,23567.0,1,514.7,rural,35.4
KEN-M090,68323.0,18323.0,1,577.8,secondary,33.4
KEN-M091,43526.0,-6474.0,0,392.6,rural,37.2
KEN-M092,69253.0,19253.0,1,584.0,rural,37.0
KEN-M093,55221.0,5221.0,1,521.9,secondary,38.2
KEN-M094,28795.0,-21205.0,0,180.6,rural,44.1
KEN-M095,48711.0,-1289.0,0,400.0,metropolitan,40.0
KEN-M096,60817.0,10817.0,1,475.4,rural,38.0
KEN-M097,26715.0,-23285.0,0,266.0,metropolitan,39.8
KEN-M098,59939.0,9939.0,1,617.4,secondary,57.9
KEN-M099,60400.0,10400.0,1,474.5,rural,45.3
KEN-M100,62334.0,12334.0,1,399.0,secondary,47.1
KEN-M101,53515.0,3515.0,1,476.8,metropolitan,45.6
KEN-M102,58970.0,8970.0,1,507.4,rural,39.0
KEN-M103,48456.0,-1544.0,0,489.8,metropolitan,43.5
KEN-M104,33797.0,-16203.0,0,370.9,rural,38.6
KEN-M105,37129.0,-12871.0,0,252.0,secondary,32.9
KEN-M106,39901.0,-10099.0,0,287.1,rural,52.6
KEN-M107,25806.0,-24194.0,0,216.4,rural,34.8
KEN-M108,58035.0,8035.0,1,559.1,metropolitan,45.8
KEN-M109,35181.0,-14819.0,0,363.0,rural,34.6
KEN-M110,65853.0,15853.0,1,470.0,rural,33.6
KEN-M111,58643.0,8643.0,1,494.1,rural,36.3
KEN-M112,47042.0,-2958.0,0,319.9,rural,47.3
KEN-M113,54425.0,4425.0,1,504.2,rural,39.3
KEN-M114,33876.0,-16124.0,0,439.1,rural,46.7
KEN-M115,40464.0,-9536.0,0,413.4,secondary,46.3
KEN-M116,77173.0,27173.0,1,702.2,rural,47.9
KEN-M117,50667.0,667.0,1,470.7,rural,36.2
KEN-M118,49310.0,-690.0,0,313.0,secondary,35.4
KEN-M119,45975.0,-4025.0,0,283.2,metropolitan,40.3
KEN-M120,62532.0,12532.0,1,366.0,secondary,41.3
KEN-M121,50580.0,580.0,1,360.4,rural,37.1
KEN-M122,75185.0,25185.0,1,710.3,metropolitan,39.4
KEN-M123,45830.0,-4170.0,0,364.4,rural,42.0
KEN-M124,70396.0,20396.0,1,568.4,secondary,41.2
KEN-M125,41078.0,-8922.0,0,258.6,metropolitan,45.0
KEN-M126,47068.0,-2932.0,0,382.9,rural,36.4
KEN-M127,38062.0,-11938.0,0,189.0,metropolitan,39.3
KEN-M128,52172.0,2172.0,1,407.2,rural,38.4
KEN-M129,62702.0,12702.0,1,559.1,rural,42.0
KEN-M130,31140.0,-18860.0,0,263.2,metropolitan,36.5
KEN-M131,37567.0,-12433.0,0,309.9,rural,40.4
KEN-M132,42047.0,-7953.0,0,201.8,secondary,45.7
KEN-M133,67140.0,17140.0,1,556.7,secondary,39.4
KEN-M134,51481.0,1481.0,1,523.7,metropolitan,44.3
KEN-M135,37706.0,-12294.0,0,207.0,rural,31.7
KEN-M136,48002.0,-1998.0,0,307.2,rural,34.8
KEN-M137,70056.0,20056.0,1,755.6,rural,38.3
KEN-M138,52151.0,2151.0,1,518.4,rural,36.9
KEN-M139,32306.0,-17694.0,0,346.0,secondary,39.1
KEN-M140,64763.0,14763.0,1,566.2,metropolitan,41.2
KEN-M141,38063.0,-11937.0,0,240.0,metropolitan,36.2
KEN-M142,65222.0,15222.0,1,640.1,metropolitan,42.7
KEN-M143,52868.0,2868.0,1,456.9,metropolitan,43.7
KEN-M144,68611.0,18611.0,1,658.3,rural,42.2
KEN-M145,43227.0,-6773.0,0,452.3,secondary,45.2
KEN-M146,52760.0,2760.0,1,621.5,rural,44.6
KEN-M147,54814.0,4814.0,1,557.4,metropolitan,44.3
KEN-M148,78500.0,28500.0,1,581.2,rural,43.8
KEN-M149,36628.0,-13372.0,0,266.6,metropolitan,47.1
KEN-M150,33075.0,-16925.0,0,243.0,secondary,40.9
KEN-M151,19232.0,-30768.0,0,322.0,rural,43.0
KEN-M152,66365.0,16365.0,1,685.3,secondary,50.7
KEN-M153,33558.0,-16442.0,0,370.1,rural,42.8
KEN-M154,51628.0,1628.0,1,399.2,rural,40.1
KEN-M155,56451.0,6451.0,1,546.6,metropolitan,34.0
KEN-M156,53633.0,3633.0,1,572.7,secondary,41.0
KEN-M157,53933.0,3933.0,1,427.1,secondary,48.8
KEN-M158,42642.0,-7358.0,0,353.4,metropolitan,49.8
KEN-M159,49674.0,-326.0,0,344.0,metropolitan,41.3
KEN-M160,38149.0,-11851.0,0,226.9,metropolitan,43.2
KEN-M161,60547.0,10547.0,1,348.6,metropolitan,47.0
KEN-M162,42044.0,-7956.0,0,290.3,rural,40.2
KEN-M163,24632.0,-25368.0,0,436.5,rural,40.7
KEN-M164,21634.0,-28366.0,0,446.2,metropolitan,39.9
KEN-M165,65292.0,15292.0,1,619.8,rural,44.5
KEN-M166,67320.0,17320.0,1,599.2,metropolitan,37.3
KEN-M167,65490.0,15490.0,1,683.3,secondary,39.1
KEN-M168,61788.0,11788.0,1,504.4,rural,42.2
KEN-M169,72144.0,22144.0,1,646.8,rural,41.3
KEN-M170,73399.0,23399.0,1,674.4,rural,48.8
KEN-M171,44273.0,-5727.0,0,457.0,metropolitan,39.8
KEN-M172,46550.0,-3450.0,0,449.2,metropolitan,36.5
KEN-M173,59868.0,9868.0,1,746.6,metropolitan,39.5
KEN-M174,37636.0,-12364.0,0,277.6,rural,42.7
KEN-M175,50604.0,604.0,1,390.0,metropolitan,34.8
KEN-M176,70211.0,20211.0,1,706.1,metropolitan,44.1
KEN-M177,46684.0,-3316.0,0,299.6,secondary,31.7
KEN-M178,50454.0,454.0,1,742.7,secondary,43.0
KEN-M179,46014.0,-3986.0,0,306.7,secondary,37.3
KEN-M180,71661.0,21661.0,1,553.7,rural,44.0
KEN-M181,59275.0,9275.0,1,479.2,rural,40.5
KEN-M182,51346.0,1346.0,1,535.1,rural,37.9
KEN-M183,44843.0,-5157.0,0,399.1,secondary,39.0
KEN-M184,37356.0,-12644.0,0,307.8,rural,36.7
KEN-M185,81475.0,31475.0,1,576.4,rural,48.8
KEN-M186,48288.0,-1712.0,0,400.4,metropolitan,31.3
KEN-M187,43349.0,-6651.0,0,345.3,metropolitan,41.1
KEN-M188,28942.0,-21058.0,0,311.6,metropolitan,42.5
