city_id,year,transit_share_pct,EN_POP_DNST,NY_GDP_PCAP_CD,IS_VEH_NVEH_P3,treated,post
CITY-01,2000,33.995,5471.0,2683.0,0.3403,0,0
CITY-01,2001,33.525,5508.0,2646.0,0.3487,0,0
CITY-01,2002,33.614,5463.0,2727.0,0.3486,0,0
CITY-01,2003,33.362,5515.0,2793.0,0.351,0,0
CITY-01,2004,33.682,5521.0,2827.0,0.3522,0,0
CITY-01,2005,32.664,5463.0,2876.0,0.3588,0,0
CITY-01,2006,34.955,5532.0,2978.0,0.3698,0,0
CITY-01,2007,34.412,5487.0,3047.0,0.3711,0,0
CITY-01,2008,36.787,5409.0,3122.0,0.3716,0,0
CITY-01,2009,36.337,5459.0,3127.0,0.3757,0,0
CITY-01,2010,37.588,5479.0,3144.0,0.3775,0,0
CITY-01,2011,38.169,5441.0,3195.0,0.3912,0,0
CITY-01,2012,41.333,5395.0,3287.0,0.3847,0,0
CITY-01,2013,39.47,5460.0,3338.0,0.3865,0,0
CITY-01,2014,40.082,5463.0,3318.0,0.3996,0,0
CITY-01,2015,40.696,5424.0,3388.0,0.4019,0,1
CITY-01,2016,41.404,5533.0,3484.0,0.4019,0,1
CITY-01,2017,43.376,5431.0,3526.0,0.4069,0,1
CITY-01,2018,42.814,5448.0,3695.0,0.412,0,1
CITY-01,2019,42.687,5487.0,3739.0,0.4142,0,1
CITY-01,2020,41.627,5499.0,3661.0,0.4175,0,1
CITY-01,2021,41.399,5475.0,3749.0,0.4098,0,1
CITY-01,2022,42.451,5480.0,3806.0,0.4241,0,1
CITY-01,2023,43.496,5355.0,3937.0,0.4304,0,1
CITY-02,2000,43.526,3585.0,2991.0,0.5143,0,0
CITY-02,2001,45.066,3657.0,3087.0,0.519,0,0
CITY-02,2002,44.321,3578.0,3126.0,0.5221,0,0
CITY-02,2003,42.445,3545.0,3185.0,0.5396,0,0
CITY-02,2004,42.505,3636.0,3249.0,0.5303,0,0
CITY-02,2005,43.026,3620.0,3294.0,0.5324,0,0
CITY-02,2006,43.363,3583.0,3380.0,0.5408,0,0
CITY-02,2007,42.972,3544.0,3477.0,0.554,0,0
CITY-02,2008,45.099,3571.0,3535.0,0.5493,0,0
CITY-02,2009,44.125,3559.0,3555.0,0.561,0,0
CITY-02,2010,44.961,3548.0,3626.0,0.5579,0,0
CITY-02,2011,44.552,3583.0,3640.0,0.5631,0,0
