cell_id,col,row,x_m,y_m,dist_cbd_km,built_up_pct,green_pct,pop_density,log_land_value
G001,0,0,500.0,500.0,11.402,47.51,34.34,9347.0,19.263
G002,1,0,1500.0,500.0,10.817,37.94,36.7,4758.0,18.9343
G003,2,0,2500.0,500.0,10.296,29.69,35.15,6527.0,18.9021
G004,3,0,3500.0,500.0,9.849,34.2,28.25,13719.0,19.2675
G005,4,0,4500.0,500.0,9.487,29.48,25.75,10868.0,19.2833
G006,5,0,5500.0,500.0,9.22,36.53,29.68,11596.0,19.9404
G007,6,0,6500.0,500.0,9.055,22.17,31.97,12598.0,19.7839
G008,7,0,7500.0,500.0,9.0,30.94,23.84,10505.0,19.7472
G009,8,0,8500.0,500.0,9.055,37.18,29.96,5387.0,19.3896
G010,9,0,9500.0,500.0,9.22,23.73,24.0,10364.0,18.7537
G011,10,0,10500.0,500.0,9.487,33.25,43.02,7186.0,18.4336
G012,11,0,11500.0,500.0,9.849,27.38,32.89,1891.0,18.1709
G013,12,0,12500.0,500.0,10.296,41.07,38.24,3661.0,18.4335
G014,13,0,13500.0,500.0,10.817,37.17,42.37,9213.0,18.622
G015,14,0,14500.0,500.0,11.402,18.5,34.6,4225.0,18.5705
G016,15,0,15500.0,500.0,12.042,15.74,32.16,7580.0,18.0618
G017,16,0,16500.0,500.0,12.728,22.91,32.15,5939.0,18.1592
G018,17,0,17500.0,500.0,13.454,39.13,35.62,5705.0,18.1222
G019,0,1,500.0,1500.0,10.63,42.73,29.4,8345.0,19.0026
G020,1,1,1500.0,1500.0,10.0,39.82,24.22,7912.0,19.0143
G021,2,1,2500.0,1500.0,9.434,35.23,34.4,6608.0,18.8139
G022,3,1,3500.0,1500.0,8.944,34.07,33.55,5817.0,19.0739
G023,4,1,4500.0,1500.0,8.544,41.74,30.52,10966.0,19.4224
G024,5,1,5500.0,1500.0,8.246,38.38,27.06,13676.0,19.7579
G025,6,1,6500.0,1500.0,8.062,29.42,31.05,13386.0,19.6597
G026,7,1,7500.0,1500.0,8.0,31.86,26.5,9074.0,19.4611
G027,8,1,8500.0,1500.0,8.062,43.06,26.49,11167.0,19.5482
G028,9,1,9500.0,1500.0,8.246,48.63,31.57,15757.0,19.0533
G029,10,1,10500.0,1500.0,8.544,36.69,38.38,2197.0,18.5054
G030,11,1,11500.0,1500.0,8.944,24.55,26.68,7028.0,18.2426
G031,12,1,12500.0,1500.0,9.434,29.98,30.11,4492.0,18.465
G032,13,1,13500.0,1500.0,10.0,26.22,34.15,10722.0,18.7977
G033,14,1,14500.0,1500.0,10.63,36.62,31.83,4184.0,18.9425
G034,15,1,15500.0,1500.0,11.314,31.81,35.59,2247.0,18.5963
G035,16,1,16500.0,1500.0,12.042,21.54,38.12,8245.0,18.2547
G036,17,1,17500.0,1500.0,12.806,39.51,36.25,2395.0,18.3305
G037,0,2,500.0,2500.0,9.899,37.55,33.68,11611.0,18.9328
G038,1,2,1500.0,2500.0,9.22,30.84,31.06,11071.0,19.1148
G039,2,2,2500.0,2500.0,8.602,37.52,31.35,8513.0,19.2636
G040,3,2,3500.0,2500.0,8.062,35.67,27.9,9102.0,19.4085
G041,4,2,4500.0,2500.0,7.616,49.82,35.23,7825.0,19.6367
G042,5,2,5500.0,2500.0,7.28,45.39,28.38,9991.0,19.6494
G043,6,2,6500.0,2500.0,7.071,41.89,21.92,10398.0,19.7796
G044,7,2,7500.0,2500.0,7.0,45.41,29.26,8884.0,19.3917
G045,8,2,8500.0,2500.0,7.071,48.66,28.53,10607.0,19.3364
G046,9,2,9500.0,2500.0,7.28,33.06,27.51,7412.0,18.9474
G047,10,2,10500.0,2500.0,7.616,33.31,19.89,7832.0,18.6355
G048,11,2,11500.0,2500.0,8.062,32.53,26.89,11383.0,18.6927
G049,12,2,12500.0,2500.0,8.602,39.02,36.53,8925.0,18.7832
G050,13,2,13500.0,2500.0,9.22,26.11,24.37,11608.0,18.9825
G051,14,2,14500.0,2500.0,9.899,44.33,21.14,5124.0,19.0594
G052,15,2,15500.0,2500.0,10.63,14.76,26.02,10398.0,18.8601
G053,16,2,16500.0,2500.0,11.402,22.74,41.43,8432.0,18.4375
G054,17,2,17500.0,2500.0,12.207,13.87,44.76,6109.0,18.0937
G055,0,3,500.0,3500.0,9.22,38.53,37.72,8578.0,18.6384
G056,1,3,1500.0,3500.0,8.485,27.85,30.75,10661.0,19.0925
G057,2,3,2500.0,3500.0,7.81,37.26,32.39,12633.0,19.3535
G058,3,3,3500.0,3500.0,7.211,40.74,27.78,9746.0,19.3249
G059,4,3,4500.0,3500.0,6.708,51.22,23.93,11369.0,19.4753
G060,5,3,5500.0,3500.0,6.325,44.94,29.91,15035.0,19.7071
G061,6,3,6500.0,3500.0,6.083,37.87,21.24,13367.0,19.5857
G062,7,3,7500.0,3500.0,6.0,38.16,23.88,12040.0,19.3381
G063,8,3,8500.0,3500.0,6.083,44.61,25.06,16536.0,19.2287
G064,9,3,9500.0,3500.0,6.325,42.66,29.24,4214.0,18.9529
G065,10,3,10500.0,3500.0,6.708,49.97,20.35,12262.0,19.1155
G066,11,3,11500.0,3500.0,7.211,33.28,26.95,9151.0,18.8697
G067,12,3,12500.0,3500.0,7.81,39.37,22.8,10372.0,18.954
G068,13,3,13500.0,3500.0,8.485,39.13,25.2,12233.0,19.2884
G069,14,3,14500.0,3500.0,9.22,37.08,29.94,6729.0,19.1632
G070,15,3,15500.0,3500.0,10.0,48.84,40.25,9454.0,19.1218
G071,16,3,16500.0,3500.0,10.817,34.65,42.31,9577.0,18.7448
G072,17,3,17500.0,3500.0,11.662,29.11,28.92,9321.0,18.345
G073,0,4,500.0,4500.0,8.602,36.22,23.12,7184.0,18.7564
G074,1,4,1500.0,4500.0,7.81,41.31,27.88,8102.0,18.9388
G075,2,4,2500.0,4500.0,7.071,35.33,19.15,12007.0,19.3946
G076,3,4,3500.0,4500.0,6.403,44.53,36.42,11742.0,19.3402
G077,4,4,4500.0,4500.0,5.831,49.81,24.33,9533.0,19.5523
G078,5,4,5500.0,4500.0,5.385,47.42,25.87,14010.0,19.477
G079,6,4,6500.0,4500.0,5.099,35.18,24.08,10514.0,19.324
G080,7,4,7500.0,4500.0,5.0,37.89,29.07,10429.0,19.2432
G081,8,4,8500.0,4500.0,5.099,48.12,22.93,12336.0,19.317
G082,9,4,9500.0,4500.0,5.385,47.15,26.28,6731.0,18.9571
G083,10,4,10500.0,4500.0,5.831,43.83,28.25,9271.0,18.9172
G084,11,4,11500.0,4500.0,6.403,39.69,21.96,7939.0,19.0023
G085,12,4,12500.0,4500.0,7.071,34.74,31.87,10326.0,19.1748
G086,13,4,13500.0,4500.0,7.81,37.56,26.66,10427.0,19.2971
G087,14,4,14500.0,4500.0,8.602,27.16,34.1,11808.0,19.0249
G088,15,4,15500.0,4500.0,9.434,23.42,34.81,11412.0,18.9788
G089,16,4,16500.0,4500.0,10.296,30.62,35.58,9909.0,18.8167
G090,17,4,17500.0,4500.0,11.18,37.99,34.58,3911.0,18.7273
G091,0,5,500.0,5500.0,8.062,37.64,33.85,6487.0,18.6099
G092,1,5,1500.0,5500.0,7.211,42.75,20.83,8512.0,19.1537
G093,2,5,2500.0,5500.0,6.403,40.67,28.68,8520.0,19.2828
G094,3,5,3500.0,5500.0,5.657,49.45,21.27,9773.0,19.4016
G095,4,5,4500.0,5500.0,5.0,43.07,22.15,9922.0,19.3938
G096,5,5,5500.0,5500.0,4.472,47.34,22.86,10154.0,19.4053
G097,6,5,6500.0,5500.0,4.123,58.21,22.26,15384.0,19.6073
G098,7,5,7500.0,5500.0,4.0,42.11,26.55,9773.0,19.4502
G099,8,5,8500.0,5500.0,4.123,54.02,17.17,11674.0,19.4106
G100,9,5,9500.0,5500.0,4.472,38.09,35.8,9474.0,18.915
G101,10,5,10500.0,5500.0,5.0,56.75,21.84,12075.0,19.0651
G102,11,5,11500.0,5500.0,5.657,42.35,30.92,10408.0,19.0861
G103,12,5,12500.0,5500.0,6.403,34.48,31.76,9043.0,19.1253
G104,13,5,13500.0,5500.0,7.211,37.37,28.08,11311.0,19.3021
G105,14,5,14500.0,5500.0,8.062,46.29,36.38,8971.0,19.4525
G106,15,5,15500.0,5500.0,8.944,30.4,32.62,12362.0,19.3401
G107,16,5,16500.0,5500.0,9.849,33.09,42.95,1293.0,19.0104
G108,17,5,17500.0,5500.0,10.77,39.61,40.28,14878.0,19.1054
G109,0,6,500.0,6500.0,7.616,34.33,34.65,9320.0,18.6471
