cell_id,x_km,y_km,date,t,treated,dist_to_treat_km,in_spillover_ring,post,log_avg_rad
C001,0.0,0.0,2022-01-01,1,0,4.243,0,0,2.199
C001,0.0,0.0,2022-02-01,2,0,4.243,0,0,2.213
C001,0.0,0.0,2022-03-01,3,0,4.243,0,0,2.1449
C001,0.0,0.0,2022-04-01,4,0,4.243,0,0,2.1872
C001,0.0,0.0,2022-05-01,5,0,4.243,0,0,2.2005
C001,0.0,0.0,2022-06-01,6,0,4.243,0,0,2.2403
C001,0.0,0.0,2022-07-01,7,0,4.243,0,0,2.2061
C001,0.0,0.0,2022-08-01,8,0,4.243,0,0,2.2057
C001,0.0,0.0,2022-09-01,9,0,4.243,0,0,2.2313
C001,0.0,0.0,2022-10-01,10,0,4.243,0,0,2.2357
C001,0.0,0.0,2022-11-01,11,0,4.243,0,0,2.2053
C001,0.0,0.0,2022-12-01,12,0,4.243,0,0,2.2361
C001,0.0,0.0,2023-01-01,13,0,4.243,0,0,2.2527
C001,0.0,0.0,2023-02-01,14,0,4.243,0,0,2.2521
C001,0.0,0.0,2023-03-01,15,0,4.243,0,0,2.2277
C001,0.0,0.0,2023-04-01,16,0,4.243,0,0,2.1991
C001,0.0,0.0,2023-05-01,17,0,4.243,0,0,2.2217
C001,0.0,0.0,2023-06-01,18,0,4.243,0,0,2.2706
C001,0.0,0.0,2023-07-01,19,0,4.243,0,0,2.2417
C001,0.0,0.0,2023-08-01,20,0,4.243,0,0,2.2765
C001,0.0,0.0,2023-09-01,21,0,4.243,0,0,2.2571
C001,0.0,0.0,2023-10-01,22,0,4.243,0,0,2.2729
C001,0.0,0.0,2023-11-01,23,0,4.243,0,0,2.2094
C001,0.0,0.0,2023-12-01,24,0,4.243,0,0,2.2281
C001,0.0,0.0,2024-01-01,25,0,4.243,0,1,2.2057
C001,0.0,0.0,2024-02-01,26,0,4.243,0,1,2.2488
C001,0.0,0.0,2024-03-01,27,0,4.243,0,1,2.2897
C001,0.0,0.0,2024-04-01,28,0,4.243,0,1,2.2347
C001,0.0,0.0,2024-05-01,29,0,4.243,0,1,2.2661
C001,0.0,0.0,2024-06-01,30,0,4.243,0,1,2.2597
C001,0.0,0.0,2024-07-01,31,0,4.243,0,1,2.3094
C001,0.0,0.0,2024-08-01,32,0,4.243,0,1,2.2792
C001,0.0,0.0,2024-09-01,33,0,4.243,0,1,2.3454
C001,0.0,0.0,2024-10-01,34,0,4.243,0,1,2.3118
C001,0.0,0.0,2024-11-01,35,0,4.243,0,1,2.3343
C001,0.0,0.0,2024-12-01,36,0,4.243,0,1,2.2919
C002,1.0,0.0,2022-01-01,1,0,3.606,0,0,2.5068
C002,1.0,0.0,2022-02-01,2,0,3.606,0,0,2.4136
C002,1.0,0.0,2022-03-01,3,0,3.606,0,0,2.4256
C002,1.0,0.0,2022-04-01,4,0,3.606,0,0,2.4791
C002,1.0,0.0,2022-05-01,5,0,3.606,0,0,2.4673
C002,1.0,0.0,2022-06-01,6,0,3.606,0,0,2.5027
C002,1.0,0.0,2022-07-01,7,0,3.606,0,0,2.4765
C002,1.0,0.0,2022-08-01,8,0,3.606,0,0,2.4953
C002,1.0,0.0,2022-09-01,9,0,3.606,0,0,2.4388
C002,1.0,0.0,2022-10-01,10,0,3.606,0,0,2.5086
C002,1.0,0.0,2022-11-01,11,0,3.606,0,0,2.5055
C002,1.0,0.0,2022-12-01,12,0,3.606,0,0,2.5164
C002,1.0,0.0,2023-01-01,13,0,3.606,0,0,2.4909
C002,1.0,0.0,2023-02-01,14,0,3.606,0,0,2.5012
C002,1.0,0.0,2023-03-01,15,0,3.606,0,0,2.4846
C002,1.0,0.0,2023-04-01,16,0,3.606,0,0,2.476
C002,1.0,0.0,2023-05-01,17,0,3.606,0,0,2.5184
C002,1.0,0.0,2023-06-01,18,0,3.606,0,0,2.5477
C002,1.0,0.0,2023-07-01,19,0,3.606,0,0,2.5022
C002,1.0,0.0,2023-08-01,20,0,3.606,0,0,2.4793
C002,1.0,0.0,2023-09-01,21,0,3.606,0,0,2.4436
C002,1.0,0.0,2023-10-01,22,0,3.606,0,0,2.4756
C002,1.0,0.0,2023-11-01,23,0,3.606,0,0,2.5241
C002,1.0,0.0,2023-12-01,24,0,3.606,0,0,2.5456
C002,1.0,0.0,2024-01-01,25,0,3.606,0,1,2.5543
C002,1.0,0.0,2024-02-01,26,0,3.606,0,1,2.514
C002,1.0,0.0,2024-03-01,27,0,3.606,0,1,2.5449
C002,1.0,0.0,2024-04-01,28,0,3.606,0,1,2.5832
C002,1.0,0.0,2024-05-01,29,0,3.606,0,1,2.5646
C002,1.0,0.0,2024-06-01,30,0,3.606,0,1,2.5768
C002,1.0,0.0,2024-07-01,31,0,3.606,0,1,2.5659
C002,1.0,0.0,2024-08-01,32,0,3.606,0,1,2.5299
C002,1.0,0.0,2024-09-01,33,0,3.606,0,1,2.5685
C002,1.0,0.0,2024-10-01,34,0,3.606,0,1,2.6065
C002,1.0,0.0,2024-11-01,35,0,3.606,0,1,2.5711
C002,1.0,0.0,2024-12-01,36,0,3.606,0,1,2.5188
C003,2.0,0.0,2022-01-01,1,0,3.162,0,0,2.153
C003,2.0,0.0,2022-02-01,2,0,3.162,0,0,2.203
C003,2.0,0.0,2022-03-01,3,0,3.162,0,0,2.2223
C003,2.0,0.0,2022-04-01,4,0,3.162,0,0,2.2293
C003,2.0,0.0,2022-05-01,5,0,3.162,0,0,2.1609
C003,2.0,0.0,2022-06-01,6,0,3.162,0,0,2.2299
C003,2.0,0.0,2022-07-01,7,0,3.162,0,0,2.1883
C003,2.0,0.0,2022-08-01,8,0,3.162,0,0,2.2187
C003,2.0,0.0,2022-09-01,9,0,3.162,0,0,2.1981
C003,2.0,0.0,2022-10-01,10,0,3.162,0,0,2.2518
C003,2.0,0.0,2022-11-01,11,0,3.162,0,0,2.1773
C003,2.0,0.0,2022-12-01,12,0,3.162,0,0,2.2173
C003,2.0,0.0,2023-01-01,13,0,3.162,0,0,2.2332
C003,2.0,0.0,2023-02-01,14,0,3.162,0,0,2.2027
C003,2.0,0.0,2023-03-01,15,0,3.162,0,0,2.222
C003,2.0,0.0,2023-04-01,16,0,3.162,0,0,2.2682
C003,2.0,0.0,2023-05-01,17,0,3.162,0,0,2.2346
C003,2.0,0.0,2023-06-01,18,0,3.162,0,0,2.2687
C003,2.0,0.0,2023-07-01,19,0,3.162,0,0,2.2225
C003,2.0,0.0,2023-08-01,20,0,3.162,0,0,2.2097
C003,2.0,0.0,2023-09-01,21,0,3.162,0,0,2.192
C003,2.0,0.0,2023-10-01,22,0,3.162,0,0,2.2658
C003,2.0,0.0,2023-11-01,23,0,3.162,0,0,2.239
C003,2.0,0.0,2023-12-01,24,0,3.162,0,0,2.2752
C003,2.0,0.0,2024-01-01,25,0,3.162,0,1,2.2473
C003,2.0,0.0,2024-02-01,26,0,3.162,0,1,2.2526
C003,2.0,0.0,2024-03-01,27,0,3.162,0,1,2.2774
C003,2.0,0.0,2024-04-01,28,0,3.162,0,1,2.2793
C003,2.0,0.0,2024-05-01,29,0,3.162,0,1,2.2479
C003,2.0,0.0,2024-06-01,30,0,3.162,0,1,2.2958
C003,2.0,0.0,2024-07-01,31,0,3.162,0,1,2.2618
C003,2.0,0.0,2024-08-01,32,0,3.162,0,1,2.2713
C003,2.0,0.0,2024-09-01,33,0,3.162,0,1,2.3789
C003,2.0,0.0,2024-10-01,34,0,3.162,0,1,2.3336
C003,2.0,0.0,2024-11-01,35,0,3.162,0,1,2.2882
C003,2.0,0.0,2024-12-01,36,0,3.162,0,1,2.2779
C004,3.0,0.0,2022-01-01,1,0,3.0,0,0,2.5847
C004,3.0,0.0,2022-02-01,2,0,3.0,0,0,2.5961
C004,3.0,0.0,2022-03-01,3,0,3.0,0,0,2.6365
C004,3.0,0.0,2022-04-01,4,0,3.0,0,0,2.6283
C004,3.0,0.0,2022-05-01,5,0,3.0,0,0,2.6158
C004,3.0,0.0,2022-06-01,6,0,3.0,0,0,2.6392
C004,3.0,0.0,2022-07-01,7,0,3.0,0,0,2.6321
C004,3.0,0.0,2022-08-01,8,0,3.0,0,0,2.6595
C004,3.0,0.0,2022-09-01,9,0,3.0,0,0,2.6147
C004,3.0,0.0,2022-10-01,10,0,3.0,0,0,2.6481
C004,3.0,0.0,2022-11-01,11,0,3.0,0,0,2.5878
C004,3.0,0.0,2022-12-01,12,0,3.0,0,0,2.6497
C004,3.0,0.0,2023-01-01,13,0,3.0,0,0,2.6575
C004,3.0,0.0,2023-02-01,14,0,3.0,0,0,2.6144
C004,3.0,0.0,2023-03-01,15,0,3.0,0,0,2.638
C004,3.0,0.0,2023-04-01,16,0,3.0,0,0,2.6689
C004,3.0,0.0,2023-05-01,17,0,3.0,0,0,2.6357
C004,3.0,0.0,2023-06-01,18,0,3.0,0,0,2.6873
C004,3.0,0.0,2023-07-01,19,0,3.0,0,0,2.7084
C004,3.0,0.0,2023-08-01,20,0,3.0,0,0,2.6322
C004,3.0,0.0,2023-09-01,21,0,3.0,0,0,2.7117
C004,3.0,0.0,2023-10-01,22,0,3.0,0,0,2.6895
C004,3.0,0.0,2023-11-01,23,0,3.0,0,0,2.6608
C004,3.0,0.0,2023-12-01,24,0,3.0,0,0,2.7369
C004,3.0,0.0,2024-01-01,25,0,3.0,0,1,2.686
C004,3.0,0.0,2024-02-01,26,0,3.0,0,1,2.7105
C004,3.0,0.0,2024-03-01,27,0,3.0,0,1,2.684
C004,3.0,0.0,2024-04-01,28,0,3.0,0,1,2.6762
C004,3.0,0.0,2024-05-01,29,0,3.0,0,1,2.6448
C004,3.0,0.0,2024-06-01,30,0,3.0,0,1,2.6854
C004,3.0,0.0,2024-07-01,31,0,3.0,0,1,2.7687
C004,3.0,0.0,2024-08-01,32,0,3.0,0,1,2.6847
C004,3.0,0.0,2024-09-01,33,0,3.0,0,1,2.6911
C004,3.0,0.0,2024-10-01,34,0,3.0,0,1,2.69
C004,3.0,0.0,2024-11-01,35,0,3.0,0,1,2.7385
C004,3.0,0.0,2024-12-01,36,0,3.0,0,1,2.7008
C005,4.0,0.0,2022-01-01,1,0,3.162,0,0,2.6822
C005,4.0,0.0,2022-02-01,2,0,3.162,0,0,2.6856
C005,4.0,0.0,2022-03-01,3,0,3.162,0,0,2.6875
C005,4.0,0.0,2022-04-01,4,0,3.162,0,0,2.706
C005,4.0,0.0,2022-05-01,5,0,3.162,0,0,2.6715
C005,4.0,0.0,2022-06-01,6,0,3.162,0,0,2.656
C005,4.0,0.0,2022-07-01,7,0,3.162,0,0,2.7168
C005,4.0,0.0,2022-08-01,8,0,3.162,0,0,2.7388
C005,4.0,0.0,2022-09-01,9,0,3.162,0,0,2.7376
C005,4.0,0.0,2022-10-01,10,0,3.162,0,0,2.7129
C005,4.0,0.0,2022-11-01,11,0,3.162,0,0,2.6709
C005,4.0,0.0,2022-12-01,12,0,3.162,0,0,2.7666
C005,4.0,0.0,2023-01-01,13,0,3.162,0,0,2.7159
C005,4.0,0.0,2023-02-01,14,0,3.162,0,0,2.7042
C005,4.0,0.0,2023-03-01,15,0,3.162,0,0,2.7501
C005,4.0,0.0,2023-04-01,16,0,3.162,0,0,2.804
C005,4.0,0.0,2023-05-01,17,0,3.162,0,0,2.7057
C005,4.0,0.0,2023-06-01,18,0,3.162,0,0,2.7536
C005,4.0,0.0,2023-07-01,19,0,3.162,0,0,2.7557
C005,4.0,0.0,2023-08-01,20,0,3.162,0,0,2.744
C005,4.0,0.0,2023-09-01,21,0,3.162,0,0,2.8051
C005,4.0,0.0,2023-10-01,22,0,3.162,0,0,2.7418
C005,4.0,0.0,2023-11-01,23,0,3.162,0,0,2.7026
C005,4.0,0.0,2023-12-01,24,0,3.162,0,0,2.755
C005,4.0,0.0,2024-01-01,25,0,3.162,0,1,2.7703
C005,4.0,0.0,2024-02-01,26,0,3.162,0,1,2.817
C005,4.0,0.0,2024-03-01,27,0,3.162,0,1,2.7982
C005,4.0,0.0,2024-04-01,28,0,3.162,0,1,2.806
C005,4.0,0.0,2024-05-01,29,0,3.162,0,1,2.8345
C005,4.0,0.0,2024-06-01,30,0,3.162,0,1,2.7563
C005,4.0,0.0,2024-07-01,31,0,3.162,0,1,2.8117
C005,4.0,0.0,2024-08-01,32,0,3.162,0,1,2.8334
C005,4.0,0.0,2024-09-01,33,0,3.162,0,1,2.8009
C005,4.0,0.0,2024-10-01,34,0,3.162,0,1,2.7873
C005,4.0,0.0,2024-11-01,35,0,3.162,0,1,2.7873
C005,4.0,0.0,2024-12-01,36,0,3.162,0,1,2.823
C006,5.0,0.0,2022-01-01,1,0,3.606,0,0,2.4024
C006,5.0,0.0,2022-02-01,2,0,3.606,0,0,2.4762
C006,5.0,0.0,2022-03-01,3,0,3.606,0,0,2.4183
C006,5.0,0.0,2022-04-01,4,0,3.606,0,0,2.472
C006,5.0,0.0,2022-05-01,5,0,3.606,0,0,2.4568
C006,5.0,0.0,2022-06-01,6,0,3.606,0,0,2.4923
C006,5.0,0.0,2022-07-01,7,0,3.606,0,0,2.418
C006,5.0,0.0,2022-08-01,8,0,3.606,0,0,2.4194
C006,5.0,0.0,2022-09-01,9,0,3.606,0,0,2.4935
C006,5.0,0.0,2022-10-01,10,0,3.606,0,0,2.4759
C006,5.0,0.0,2022-11-01,11,0,3.606,0,0,2.4567
C006,5.0,0.0,2022-12-01,12,0,3.606,0,0,2.4726
C006,5.0,0.0,2023-01-01,13,0,3.606,0,0,2.5309
C006,5.0,0.0,2023-02-01,14,0,3.606,0,0,2.4717
C006,5.0,0.0,2023-03-01,15,0,3.606,0,0,2.4802
C006,5.0,0.0,2023-04-01,16,0,3.606,0,0,2.4967
C006,5.0,0.0,2023-05-01,17,0,3.606,0,0,2.4965
C006,5.0,0.0,2023-06-01,18,0,3.606,0,0,2.4979
C006,5.0,0.0,2023-07-01,19,0,3.606,0,0,2.4755
C006,5.0,0.0,2023-08-01,20,0,3.606,0,0,2.5063
C006,5.0,0.0,2023-09-01,21,0,3.606,0,0,2.5266
C006,5.0,0.0,2023-10-01,22,0,3.606,0,0,2.519
C006,5.0,0.0,2023-11-01,23,0,3.606,0,0,2.5655
